period	v1ipm	v1abs
1998	5787.448672766659	179
1999	4600.493111721039	2769
2000	4659.531030321965	865
2001	6432.42647868708	1752
2002	7161.92497192232	1269
2003	6308.2958283249	1354
2004	5908.4627154144955	3433
2005	5511.106851148453	25069
2006	5885.154989001176	46182
2007	5089.94760609911	93187
2008	4618.431140028916	191420
2009	4435.465718651188	316863
2010	4623.35751499175	424344
2011	4428.950238495949	413320
2012	4476.377011228484	318431
2013	4694.987906118149	242250
2014	7619.770992277211	163021
2015		
2016		
2017		
