year	diff
2004	0.0
2005	-0.012499999999999956
2006	-0.05844155839999998
2007	0.020283975699999957
2008	-0.08833241609999998
2009	0.05313257179999997
2010	-0.08766233769999998
2011	0.011403690700000024
2012	-0.011025144999999958
2013	0.022330209399999967
2014	0.01454325099999998
2015	0.0019980019999999987
2016	0.021218462999999965
2017	-0.01373035570000003
2018	0.014513556599999977
2019	-0.00349650349999997
2020	0.007042253500000095
2021	-0.02416879790000004
2022	0.02254237289999994
2023	0.0757936508
