verb	ssr
besluta	0.09418015599477422
hota	0.06357321888881533
planera	0.0025672940348718818
lova	0.05173565653977788
tendera	0.010694950146747517
riskera	0.005553616186532201
avse	0.1497202475494182
fortsätta	0.03962239163921747
komma	0.000718784618248793
förmå	0.726781666208155
glömma	2.222469810013747
behaga	1.4444444444888889
vägra	0.016882878741816862
sluta	0.031007386092416576
idas	2.0
slippa	0.008240130674610017
försöka	0.0022722800312648304
låtsas	0.02697674393851083
lyckas	0.004639088604738021
hinna	0.005602550549290895
orka	0.02912433561018947
våga	0.000275129661064895
behöva	5.345046027284724e-05
bruka	2.0877931708454248e-05
råka	1.0
torde	1.0
ämna	0.9493096202838358
förefalla	0.09940985234283435
