year	diff
2004	0.1745098039
2005	0.0541573679
2006	0.04189560440000001
2007	0.0006645703999999808
2008	0.0004170141999999821
2009	0.0317897372
2010	0.0011894499000000003
2011	0.0246717142
2012	0.013285024199999995
2013	-0.005107762700000018
2014	-0.001065448999999996
2015	7.583929999999128e-05
2016	-0.0043796359999999646
2017	-0.00575915170000002
2018	-0.025241098299999987
2019	-0.02836320349999999
2020	-0.020457423600000024
2021	0.01557466759999998
2022	-0.006619867399999979
2023	0.021368014999999962
