year	diff
2004	0.0
2005	0.018823529399999983
2006	-0.043478260899999954
2007	-0.0318987342
2008	0.008617313000000015
2009	-0.021134296399999974
2010	0.009890109900000055
2011	-0.03600654660000002
2012	0.0038610037999999847
2013	0.020673076899999976
2014	-0.017199862399999932
2015	0.006361149099999963
2016	-0.018353374399999955
2017	0.012375162899999959
2018	-0.0032938076999999844
2019	-0.01661706350000003
2020	-0.01171171169999996
2021	0.01042415529999996
2022	0.005494505499999969
2023	-0.035087719299999987
