year	diff
2004	0.0
2005	0.023623255099999962
2006	-0.006097561000000029
2007	-0.007462686600000046
2008	0.003442608300000094
2009	-0.01352460039999992
2010	-0.0056055225999999125
2011	-0.0020468643000000064
2012	0.008729768000000027
2013	0.002419149499999995
2014	0.0043152491999999265
2015	8.47339999998642e-06
2016	-0.00010816550000003478
2017	-0.0018953299999999729
2018	0.001623456300000048
2019	-0.0001806684999999808
2020	-0.0007957911999999512
2021	-0.00098859919999994
2022	-0.0012812401999999778
2023	0.005806054899999968
