year	diff
2004	0.01428571430000003
2005	-0.03537735850000001
2006	-0.013449115799999967
2007	-0.012297226599999989
2008	-0.03776645040000004
2009	0.002106741600000017
2010	-0.0038458357000000776
2011	-0.014652014699999993
2012	-0.04774812350000002
2013	0.006040742900000007
2014	-0.02521008410000003
2015	-0.028021977999999947
2016	-0.005271426099999976
2017	-0.03825277849999997
2018	0.008588151699999935
2019	0.040701129
2020	0.01863354039999998
2021	-0.045454545399999935
2022	-0.05881799359999995
2023	-0.024566000600000026
