year	diff
2004	-0.0225563909
2005	-0.001928166299999999
2006	0.003345636599999993
2007	0.003340423600000003
2008	0.006304682300000003
2009	-0.003419913100000005
2010	0.0005352251999999891
2011	-0.005803339600000013
2012	-0.006530495400000003
2013	0.001149810799999984
2014	-0.0010754470999999877
2015	-0.0035248220000000108
2016	-0.0010709680000000055
2017	-0.000964710099999988
2018	0.0010018835000000226
2019	-0.004048770699999982
2020	0.0019403825999999569
2021	-0.0023612980000000117
2022	-0.003485002600000009
2023	6.218520000000893e-05
