year	diff
2004	0.0
2005	0.03917050690000001
2006	0.030241935499999983
2007	-0.03749999999999998
2008	-0.013513513500000074
2009	0.005175983400000028
2010	-0.005196078400000026
2011	-0.014563106799999948
2012	-0.005396825399999972
2013	-0.0006217025000000431
2014	-0.009326486699999914
2015	-0.00490316930000001
2016	-0.007880220599999932
2017	0.0009249075000000717
2018	0.003827751200000007
2019	0.006377319500000089
2020	0.001337971600000043
2021	-0.0019013244999999124
2022	-0.007389162599999999
2023	0.004077912100000081
