year	diff
2004	-0.041666666699999994
2005	-0.010849715300000007
2006	-0.024598302900000008
2007	0.013876319799999995
2008	0.003204005900000001
2009	-0.013469680400000003
2010	0.010179191300000001
2011	0.0196868734
2012	0.016649694500000006
2013	0.008312604299999998
2014	-0.011295072099999998
2015	0.01617883989999999
2016	0.004260995099999998
2017	-0.002890289199999993
2018	-0.0056935562999999995
2019	-0.016742619400000006
2020	0.004158729200000003
2021	0.031348892399999995
2022	0.008433882700000006
2023	0.008556149799999996
