year	diff
2004	-0.025641025600000034
2005	0.023846842800000045
2006	0.00639386190000002
2007	-0.016143202299999992
2008	-0.003761813899999966
2009	-0.011103479800000038
2010	0.0012346699999999933
2011	0.007787208500000031
2012	0.0052869418
2013	-0.012458236199999972
2014	-0.004684210500000008
2015	-0.009308546400000006
2016	-0.0031437333999999595
2017	-0.0030585331999999354
2018	-0.005041394000000032
2019	-0.007394075700000058
2020	-0.008314798699999959
2021	0.005074892899999961
2022	-0.0010167591999999948
2023	-0.0076195647000000255
