period	v1ipm	v1abs
2003	2522.6230312005487	17266
2004	2509.5434235816215	242065
2005	2839.3866737160574	659815
2006	3080.4428291477257	1445166
2007	3257.8193440210816	2068585
2008	3467.998272697056	2159668
2009	3637.5938197117043	2158027
2010	3691.4294244144508	1521406
2011	3704.2490690750037	1336133
2012	3619.220449168806	1051166
2013	3670.07291877951	762484
2014	3611.403674865135	500247
2015	3535.113092171794	313861
2016	3583.6030465466597	229125
2017	3760.837819247706	231440
2018	3765.992100237743	212866
2019	3610.625612201284	165193
2020	3688.2725918	153763
2021	3632.915938994495	147843
