verb2	abs	ipm
_total_	2905	3.5808068957470764
bli	556	0.6853454850379946
få	190	0.23420079524679674
förlora	152	0.1873606361974374
missa	139	0.17133637125949866
leda	133	0.16394055667275773
hamna	98	0.12079830491676884
gå	78	0.09614558962763235
försvinna	65	0.08012132468969362
mista	59	0.07272551010295267
bli	56	0.06902760280958219
slå	50	0.061631788222841245
dö	38	0.04684015904935935
falla	34	0.04190961599153205
ta	33	0.04067698022707522
göra	33	0.04067698022707522
ge	32	0.039444344462618394
stå	31	0.038211708698161574
rasa	30	0.03697907293370475
tappa	29	0.03574643716924792
skada	28	0.03451380140479109
öka	26	0.032048529875877446
åka	22	0.027117986818050152
bryta	19	0.023420079524679675
skapa	18	0.022187443760222848
påverka	18	0.022187443760222848
förlora	17	0.020954807995766024
minska	17	0.020954807995766024
sätta	16	0.019722172231309197
ställa	15	0.018489536466852374
drabba	15	0.018489536466852374
frysa	14	0.017256900702395547
orsaka	14	0.017256900702395547
dra	12	0.0147916291734819
ha	12	0.0147916291734819
få	12	0.0147916291734819
hamna	12	0.0147916291734819
svälta	11	0.013558993409025076
läcka	11	0.013558993409025076
missa	11	0.013558993409025076
förvärra	11	0.013558993409025076
lägga	10	0.01232635764456825
komma	10	0.01232635764456825
fastna	10	0.01232635764456825
störa	9	0.011093721880111424
försämra	9	0.011093721880111424
smitta	9	0.011093721880111424
urholka	8	0.009861086115654599
stjälpa	7	0.008628450351197773
innebära	7	0.008628450351197773
fortsätta	7	0.008628450351197773
driva	7	0.008628450351197773
sprida	7	0.008628450351197773
knäcka	7	0.008628450351197773
vara	7	0.008628450351197773
medföra	7	0.008628450351197773
förstöra	7	0.008628450351197773
lida	7	0.008628450351197773
stänga	7	0.008628450351197773
explodera	7	0.008628450351197773
brista	6	0.00739581458674095
tränga	6	0.00739581458674095
stå	6	0.00739581458674095
halka	6	0.00739581458674095
utlösa	6	0.00739581458674095
mista	6	0.00739581458674095
skjuta	6	0.00739581458674095
nå	6	0.00739581458674095
försena	6	0.00739581458674095
splittra	5	0.006163178822284125
skrämma	5	0.006163178822284125
lämna	5	0.006163178822284125
råka	5	0.006163178822284125
gräva	5	0.006163178822284125
möta	5	0.006163178822284125
blåsa	5	0.006163178822284125
förbli	5	0.006163178822284125
hämma	5	0.006163178822284125
tappa	5	0.006163178822284125
undergräva	5	0.006163178822284125
bromsa	5	0.006163178822284125
stoppa	5	0.006163178822284125
sänka	5	0.006163178822284125
försvåra	5	0.006163178822284125
skapa	5	0.006163178822284125
stöta	4	0.004930543057827299
spräcka	4	0.004930543057827299
köpa	4	0.004930543057827299
bidra	4	0.004930543057827299
förstärka	4	0.004930543057827299
sluta	4	0.004930543057827299
krocka	4	0.004930543057827299
kollapsa	4	0.004930543057827299
stanna	4	0.004930543057827299
brinna	4	0.004930543057827299
äventyra	4	0.004930543057827299
kosta	4	0.004930543057827299
urholka	3	0.003697907293370475
underminera	3	0.003697907293370475
utebli	3	0.003697907293370475
upphöra	3	0.003697907293370475
sjunka	3	0.003697907293370475
följa	3	0.003697907293370475
utsätta	3	0.003697907293370475
skymma	3	0.003697907293370475
föra	3	0.003697907293370475
utarma	3	0.003697907293370475
växa	3	0.003697907293370475
ramla	3	0.003697907293370475
sitta	3	0.003697907293370475
kränka	3	0.003697907293370475
fälla	3	0.003697907293370475
välta	3	0.003697907293370475
fly	3	0.003697907293370475
döda	3	0.003697907293370475
öka	3	0.003697907293370475
tippa	3	0.003697907293370475
slå	3	0.003697907293370475
slita	3	0.003697907293370475
uppstå	3	0.003697907293370475
trilla	2	0.0024652715289136496
se	2	0.0024652715289136496
höja	2	0.0024652715289136496
ha	2	0.0024652715289136496
utradera	2	0.0024652715289136496
ödelägga	2	0.0024652715289136496
uppleva	2	0.0024652715289136496
sluka	2	0.0024652715289136496
skuldbelägga	2	0.0024652715289136496
hålla	2	0.0024652715289136496
rasera	2	0.0024652715289136496
krascha	2	0.0024652715289136496
beröva	2	0.0024652715289136496
blanda	2	0.0024652715289136496
torka	2	0.0024652715289136496
förfalla	2	0.0024652715289136496
lossna	2	0.0024652715289136496
lamslå	2	0.0024652715289136496
förorena	2	0.0024652715289136496
utplåna	2	0.0024652715289136496
krympa	2	0.0024652715289136496
försvinna	2	0.0024652715289136496
belasta	2	0.0024652715289136496
förpassa	2	0.0024652715289136496
styra	2	0.0024652715289136496
isolera	2	0.0024652715289136496
försvaga	2	0.0024652715289136496
förlama	2	0.0024652715289136496
bita	2	0.0024652715289136496
behöva	2	0.0024652715289136496
äga	2	0.0024652715289136496
tolka	2	0.0024652715289136496
vittra	2	0.0024652715289136496
erodera	2	0.0024652715289136496
utveckla	2	0.0024652715289136496
motverka	2	0.0024652715289136496
drunkna	2	0.0024652715289136496
blockera	2	0.0024652715289136496
bränna	2	0.0024652715289136496
kollapsa	2	0.0024652715289136496
svämma	2	0.0024652715289136496
betala	2	0.0024652715289136496
krocka	2	0.0024652715289136496
flamma	2	0.0024652715289136496
kalva	2	0.0024652715289136496
dö	2	0.0024652715289136496
destabilisera	2	0.0024652715289136496
upprepa	2	0.0024652715289136496
hota	2	0.0024652715289136496
fara	2	0.0024652715289136496
fördröja	2	0.0024652715289136496
dricka	2	0.0024652715289136496
svälla	2	0.0024652715289136496
spä	2	0.0024652715289136496
tro	2	0.0024652715289136496
göra	2	0.0024652715289136496
ligga	2	0.0024652715289136496
