period	v1ipm	v1abs
2003	499.5278665397124	3419
2004	706.9621181950218	68192
2005	779.4709522672426	181133
2006	891.804064161012	418383
2007	955.2192128685698	606526
2008	967.1052382679703	602257
2009	930.9494116043111	552292
2010	910.840968482943	375399
2011	901.5178221642678	325180
2012	826.7803624345778	240130
2013	781.0945450838329	162278
2014	750.6639030641895	103981
2015	741.5086146734951	65834
2016	715.76654586868	45764
2017	651.8417226119187	40114
2018	626.8928061777088	35434
2019	682.8349551783691	31241
2020	605.3292868028382	25236
2021	546.8184384140235	22253
