period	v1ipm	v1abs
2004	8.944763847053483	4
2005	16.663404678962845	55
2006	17.25745072458523	72
2007	18.071150456423048	100
2008	17.02720583552239	131
2009	15.122472275937719	134
2010	18.939908026996356	187
2011	25.088243070337786	234
2012	23.154281588123887	221
2013	27.575183738462922	385
2014	26.372715385779955	424
2015	31.81456534326406	611
2016	31.385843291128733	682
2017	34.789353532620474	737
2018	28.111923504958487	529
2019	24.514652292762953	448
2020	25.521400973906644	409
2021	27.638703397657853	414
2022	28.526960074841316	272
