"word"	"Totalt"	"SVT nyheter 2017"
"skapa"	"29"	"29"
"märkas"	"29"	"29"
"inledas"	"29"	"29"
"hitta"	"29"	"29"
"förändra"	"29"	"29"
"falla"	"29"	"29"
"prata"	"28"	"28"
"innehålla"	"28"	"28"
"undersökas"	"27"	"27"
"träffa"	"27"	"27"
"skicka"	"27"	"27"
"låta"	"27"	"27"
"leva"	"27"	"27"
"ingå"	"27"	"27"
"ersättas"	"27"	"27"
"avgöras"	"27"	"27"
"ändra"	"26"	"26"
"sättas"	"26"	"26"
"stödja"	"26"	"26"
"mötas"	"26"	"26"
"erbjuda"	"26"	"26"
"beröras"	"26"	"26"
"behandlas"	"26"	"26"
"vilja"	"25"	"25"
"skriva"	"25"	"25"
"lämnas"	"25"	"25"
"kallas"	"25"	"25"
"inleda"	"25"	"25"
"drabba"	"25"	"25"
"satsa"	"24"	"24"
"reagera"	"24"	"24"
"presentera"	"24"	"24"
"nå"	"24"	"24"
"minnas"	"24"	"24"
"ledas"	"24"	"24"
"känna"	"24"	"24"
"införas"	"24"	"24"
"tvingas"	"23"	"23"
"synas"	"23"	"23"
"märka"	"23"	"23"
"gynna"	"23"	"23"
"diskuteras"	"23"	"23"
"blåsa"	"23"	"23"
"tävla"	"22"	"22"
"kontakta"	"22"	"22"
"ges"	"22"	"22"
"bjuda"	"22"	"22"
"kännas"	"21"	"21"
"höjas"	"21"	"21"
"delas"	"21"	"21"
"upprätta"	"20"	"20"
"lösas"	"20"	"20"
"införa"	"20"	"20"
"föreslå"	"20"	"20"
"fatta"	"20"	"20"
"öppnas"	"19"	"19"
"utvecklas"	"19"	"19"
"svara"	"19"	"19"
"stänga"	"19"	"19"
"sjunka"	"19"	"19"
"närvara"	"19"	"19"
"höra"	"19"	"19"
"förlora"	"19"	"19"
"drivas"	"19"	"19"
"brinna"	"19"	"19"
"bo"	"19"	"19"
"upphöra"	"18"	"18"
"underlätta"	"18"	"18"
"påbörjas"	"18"	"18"
"hantera"	"18"	"18"
"föra"	"18"	"18"
"fokusera"	"18"	"18"
"vända"	"17"	"17"
"utföras"	"17"	"17"
"sändas"	"17"	"17"
"stoppas"	"17"	"17"
"rivas"	"17"	"17"
"lyfta"	"17"	"17"
"kalla"	"17"	"17"
"diskutera"	"17"	"17"
"betalas"	"17"	"17"
"avgöra"	"17"	"17"
"åtalas"	"16"	"16"
"skrivas"	"16"	"16"
"skapas"	"16"	"16"
"röra"	"16"	"16"
"publiceras"	"16"	"16"
"passa"	"16"	"16"
"köpa"	"16"	"16"
"kämpa"	"16"	"16"
"granskas"	"16"	"16"
"förbli"	"16"	"16"
"dyka"	"16"	"16"
"dela"	"16"	"16"
"bedrivas"	"16"	"16"
"avta"	"16"	"16"
"ändras"	"15"	"15"
"välja"	"15"	"15"
"tänka"	"15"	"15"
"säljas"	"15"	"15"
"sprida"	"15"	"15"
"medverka"	"15"	"15"
"hanteras"	"15"	"15"
"förbättra"	"15"	"15"
"ersätta"	"15"	"15"
"dras"	"15"	"15"
"anställa"	"15"	"15"
"acceptera"	"15"	"15"
"återkomma"	"14"	"14"
"utföra"	"14"	"14"
"tycka"	"14"	"14"
"saknas"	"14"	"14"
"resultera"	"14"	"14"
"prioriteras"	"14"	"14"
"informera"	"14"	"14"
"granska"	"14"	"14"
"bevaka"	"14"	"14"
"begäras"	"14"	"14"
"återupptas"	"13"	"13"
"passera"	"13"	"13"
"leverera"	"13"	"13"
"köras"	"13"	"13"
"fattas"	"13"	"13"
"döda"	"13"	"13"
"bära"	"13"	"13"
"byta"	"13"	"13"
"utveckla"	"12"	"12"
"tjäna"	"12"	"12"
"stärka"	"12"	"12"
"spärras"	"12"	"12"
"spärra"	"12"	"12"
"polisanmäla"	"12"	"12"
"förstärka"	"12"	"12"
"erkänna"	"12"	"12"
"dömas"	"12"	"12"
"bytas"	"12"	"12"
"avslutas"	"12"	"12"
"ansluta"	"12"	"12"
"väckas"	"11"	"11"
"utgå"	"11"	"11"
"uppträda"	"11"	"11"
"uppmärksammas"	"11"	"11"
"transporteras"	"11"	"11"
"tappa"	"11"	"11"
"tala"	"11"	"11"
"sänka"	"11"	"11"
"sägas"	"11"	"11"
"stötta"	"11"	"11"
"stoppa"	"11"	"11"
"samlas"	"11"	"11"
"rymma"	"11"	"11"
"resa"	"11"	"11"
"medföra"	"11"	"11"
"lära"	"11"	"11"
"kontrollera"	"11"	"11"
"kandidera"	"11"	"11"
"höja"	"11"	"11"
"heta"	"11"	"11"
"genomgå"	"11"	"11"
"följas"	"11"	"11"
"beröra"	"11"	"11"
"berätta"	"11"	"11"
"behandla"	"11"	"11"
"avsluta"	"11"	"11"
"ansvara"	"11"	"11"
"överlämnas"	"10"	"10"
"väljas"	"10"	"10"
"utökas"	"10"	"10"
"upprepas"	"10"	"10"
"träffas"	"10"	"10"
"trivas"	"10"	"10"
"trafikeras"	"10"	"10"
"testas"	"10"	"10"
"pryda"	"10"	"10"
"polisanmälas"	"10"	"10"
"omfattas"	"10"	"10"
"lysa"	"10"	"10"
"lyftas"	"10"	"10"
"kontrolleras"	"10"	"10"
"försenas"	"10"	"10"
"förhöra"	"10"	"10"
"fördelas"	"10"	"10"
"fortgå"	"10"	"10"
"bestämma"	"10"	"10"
"avvecklas"	"10"	"10"
"överleva"	"9"	"9"
"vittna"	"9"	"9"
"utvärderas"	"9"	"9"
"utvisas"	"9"	"9"
"sälja"	"9"	"9"
"styra"	"9"	"9"
"spara"	"9"	"9"
"släppa"	"9"	"9"
"skötas"	"9"	"9"
"skjuta"	"9"	"9"
"samla"	"9"	"9"
"råda"	"9"	"9"
"meddela"	"9"	"9"
"locka"	"9"	"9"
"kommentera"	"9"	"9"
"fyllas"	"9"	"9"
"fylla"	"9"	"9"
"delges"	"9"	"9"
"bildas"	"9"	"9"
"beviljas"	"9"	"9"
"ansöka"	"9"	"9"
"återvända"	"8"	"8"
"väcka"	"8"	"8"
"vidtas"	"8"	"8"
"veta"	"8"	"8"
"utöka"	"8"	"8"
"utses"	"8"	"8"
"uppmana"	"8"	"8"
"trycka"	"8"	"8"
"tillföra"	"8"	"8"
"sänkas"	"8"	"8"
"sträcka"	"8"	"8"
"rulla"	"8"	"8"
"rikta"	"8"	"8"
"representera"	"8"	"8"
"pröva"	"8"	"8"
"missa"	"8"	"8"
"meddelas"	"8"	"8"
"kontaktas"	"8"	"8"
"glömma"	"8"	"8"
"förlängas"	"8"	"8"
"förhandla"	"8"	"8"
"forsätta"	"8"	"8"
"bjudas"	"8"	"8"
"bedöma"	"8"	"8"
"avgå"	"8"	"8"
"arrangeras"	"8"	"8"
"analyseras"	"8"	"8"
"åtgärdas"	"7"	"7"
"vänta"	"7"	"7"
"verka"	"7"	"7"
"utvärdera"	"7"	"7"
"uppskatta"	"7"	"7"
"uppleva"	"7"	"7"
"täcka"	"7"	"7"
"träna"	"7"	"7"
"tillåtas"	"7"	"7"
"tillåta"	"7"	"7"
"tillverkas"	"7"	"7"
"tillträda"	"7"	"7"
"skjutas"	"7"	"7"
"rätta"	"7"	"7"
"prövas"	"7"	"7"
"prioritera"	"7"	"7"
"opereras"	"7"	"7"
"levereras"	"7"	"7"
"knacka"	"7"	"7"
"inträffa"	"7"	"7"
"informeras"	"7"	"7"
"hinna"	"7"	"7"
"hindra"	"7"	"7"
"generera"	"7"	"7"
"försämras"	"7"	"7"
"försvåra"	"7"	"7"
"försvara"	"7"	"7"
"förstöra"	"7"	"7"
"fördubblas"	"7"	"7"
"födas"	"7"	"7"
"fällas"	"7"	"7"
"frias"	"7"	"7"
"flyga"	"7"	"7"
"firas"	"7"	"7"
"fira"	"7"	"7"
"bistå"	"7"	"7"
"besluta"	"7"	"7"
"be"	"7"	"7"
"anmäla"	"7"	"7"
"övervaka"	"6"	"6"
"uppmärksamma"	"6"	"6"
"trafikera"	"6"	"6"
"tillverka"	"6"	"6"
"säkerställa"	"6"	"6"
"slås"	"6"	"6"
"sköta"	"6"	"6"
"röstas"	"6"	"6"
"rädda"	"6"	"6"
"rubriceras"	"6"	"6"
"respektera"	"6"	"6"
"rekrytera"	"6"	"6"
"rekommendera"	"6"	"6"
"påbörja"	"6"	"6"
"publicera"	"6"	"6"
"plana"	"6"	"6"
"offentliggöras"	"6"	"6"
"obduceras"	"6"	"6"
"minskas"	"6"	"6"
"löpa"	"6"	"6"
