"word"	"Totalt"	"SVT nyheter 2017"
"värdera"	"1"	"1"
"vändas"	"1"	"1"
"välkomnas"	"1"	"1"
"vägras"	"1"	"1"
"vårda"	"1"	"1"
"vålla"	"1"	"1"
"våldta"	"1"	"1"
"vrida"	"1"	"1"
"vricka"	"1"	"1"
"visiteras"	"1"	"1"
"vila"	"1"	"1"
"vikariera"	"1"	"1"
"vika"	"1"	"1"
"videofilma"	"1"	"1"
"videblogga"	"1"	"1"
"vidareutvecklas"	"1"	"1"
"ventilera"	"1"	"1"
"veckopendla"	"1"	"1"
"vattna"	"1"	"1"
"vaskas"	"1"	"1"
"varvas"	"1"	"1"
"varva"	"1"	"1"
"varna"	"1"	"1"
"valtala"	"1"	"1"
"vakna"	"1"	"1"
"vaccineras"	"1"	"1"
"utvidgas"	"1"	"1"
"uttrycka"	"1"	"1"
"utsätta"	"1"	"1"
"utsmycka"	"1"	"1"
"uträttas"	"1"	"1"
"uträtta"	"1"	"1"
"utmanas"	"1"	"1"
"utlämnas"	"1"	"1"
"utlämna"	"1"	"1"
"utlysas"	"1"	"1"
"utlysa"	"1"	"1"
"utfärda"	"1"	"1"
"utfrågas"	"1"	"1"
"uteslutas"	"1"	"1"
"utesluta"	"1"	"1"
"utdömas"	"1"	"1"
"utbyta"	"1"	"1"
"utbryta"	"1"	"1"
"utarmas"	"1"	"1"
"utarma"	"1"	"1"
"uppvaktas"	"1"	"1"
"uppvakta"	"1"	"1"
"upptäckas"	"1"	"1"
"upptas"	"1"	"1"
"uppskattas"	"1"	"1"
"uppmuntra"	"1"	"1"
"upphävs"	"1"	"1"
"upphandla"	"1"	"1"
"uppgå"	"1"	"1"
"uppenbara"	"1"	"1"
"uppdatera"	"1"	"1"
"undvikas"	"1"	"1"
"undra"	"1"	"1"
"undervisas"	"1"	"1"
"underrätta"	"1"	"1"
"underminera"	"1"	"1"
"underhållas"	"1"	"1"
"undantas"	"1"	"1"
"tömmas"	"1"	"1"
"tända"	"1"	"1"
"tälta"	"1"	"1"
"tystna"	"1"	"1"
"tyngas"	"1"	"1"
"tydliggöra"	"1"	"1"
"tvättas"	"1"	"1"
"tvångsflyttas"	"1"	"1"
"TV-sändas"	"1"	"1"
"tränga"	"1"	"1"
"trimma"	"1"	"1"
"trassla"	"1"	"1"
"trampa"	"1"	"1"
"totalrenoveras"	"1"	"1"
"torgföra"	"1"	"1"
"toppa"	"1"	"1"
"tittas"	"1"	"1"
"tillämpas"	"1"	"1"
"tillstyrka"	"1"	"1"
"tillkännage"	"1"	"1"
"tillkalla"	"1"	"1"
"tillhandahållas"	"1"	"1"
"tillgängliggöra"	"1"	"1"
"tillfrågas"	"1"	"1"
"tillfriskna"	"1"	"1"
"tidigarelägga"	"1"	"1"
"ticka"	"1"	"1"
"textas"	"1"	"1"
"testköras"	"1"	"1"
"teckna"	"1"	"1"
"te"	"1"	"1"
"tassa"	"1"	"1"
"tampas"	"1"	"1"
"tackla"	"1"	"1"
"sövas"	"1"	"1"
"sörja"	"1"	"1"
"säkras"	"1"	"1"
"säkerställas"	"1"	"1"
"såra"	"1"	"1"
"synkronisera"	"1"	"1"
"sväva"	"1"	"1"
"sväras"	"1"	"1"
"svälta"	"1"	"1"
"svika"	"1"	"1"
"svartmålas"	"1"	"1"
"svalla"	"1"	"1"
"suga"	"1"	"1"
"subventioneras"	"1"	"1"
"störtdyka"	"1"	"1"
"stärkas"	"1"	"1"
"stämmas"	"1"	"1"
"städa"	"1"	"1"
"styrka"	"1"	"1"
"studeras"	"1"	"1"
"studera"	"1"	"1"
"stråla"	"1"	"1"
"strida"	"1"	"1"
"straffa"	"1"	"1"
"stortrivas"	"1"	"1"
"storma"	"1"	"1"
"stiftas"	"1"	"1"
"sticka"	"1"	"1"
"stationeras"	"1"	"1"
"startas"	"1"	"1"
"spä"	"1"	"1"
"spåra"	"1"	"1"
"sprängas"	"1"	"1"
"springas"	"1"	"1"
"spricka"	"1"	"1"
"sporra"	"1"	"1"
"spilla"	"1"	"1"
"spikas"	"1"	"1"
"spetsa"	"1"	"1"
"spenderas"	"1"	"1"
"spegla"	"1"	"1"
"specifieras"	"1"	"1"
"sparka"	"1"	"1"
"snurra"	"1"	"1"
"sniffa"	"1"	"1"
"snabbutreda"	"1"	"1"
"smyckas"	"1"	"1"
"smaka"	"1"	"1"
"slängas"	"1"	"1"
"släcka"	"1"	"1"
"slutstädas"	"1"	"1"
"slita"	"1"	"1"
"slaktas"	"1"	"1"
"skära"	"1"	"1"
"skänka"	"1"	"1"
"skymmas"	"1"	"1"
"skrämmas"	"1"	"1"
"skryta"	"1"	"1"
"skruvas"	"1"	"1"
"skrotas"	"1"	"1"
"skrinna"	"1"	"1"
"skina"	"1"	"1"
"skildra"	"1"	"1"
"skeppa"	"1"	"1"
"sjukskrivas"	"1"	"1"
"signeras"	"1"	"1"
"signera"	"1"	"1"
"separeras"	"1"	"1"
"samsas"	"1"	"1"
"samordnas"	"1"	"1"
"samordna"	"1"	"1"
"sammanfatta"	"1"	"1"
"samköra"	"1"	"1"
"samarrangeras"	"1"	"1"
"salta"	"1"	"1"
"röka"	"1"	"1"
"rättas"	"1"	"1"
"räknas"	"1"	"1"
"räkna"	"1"	"1"
"rådgöra"	"1"	"1"
"ryckas"	"1"	"1"
"rycka"	"1"	"1"
"rusta"	"1"	"1"
"runda"	"1"	"1"
"rota"	"1"	"1"
"rinna"	"1"	"1"
"rida"	"1"	"1"
"revideras"	"1"	"1"
"representeras"	"1"	"1"
"reparera"	"1"	"1"
"renovera"	"1"	"1"
"rengöras"	"1"	"1"
"renas"	"1"	"1"
"remittera"	"1"	"1"
"rekryteras"	"1"	"1"
"reglera"	"1"	"1"
"registreras"	"1"	"1"
"reflektera"	"1"	"1"
"reduceras"	"1"	"1"
"redovisa"	"1"	"1"
"redas"	"1"	"1"
"rasa"	"1"	"1"
"rannsaka"	"1"	"1"
"raderas"	"1"	"1"
"pålas"	"1"	"1"
"pyra"	"1"	"1"
"punktbevakas"	"1"	"1"
"pumpa"	"1"	"1"
"prästvigs"	"1"	"1"
"präglas"	"1"	"1"
"provtas"	"1"	"1"
"provköra"	"1"	"1"
"prova"	"1"	"1"
"promenera"	"1"	"1"
"projekteras"	"1"	"1"
"programmera"	"1"	"1"
"profilera"	"1"	"1"
"processa"	"1"	"1"
"prestera"	"1"	"1"
"premiärvisas"	"1"	"1"
"praktisera"	"1"	"1"
"poppa"	"1"	"1"
"politisera"	"1"	"1"
"plädera"	"1"	"1"
"plåga"	"1"	"1"
"plockas"	"1"	"1"
"plasta"	"1"	"1"
"plantera"	"1"	"1"
"planeras"	"1"	"1"
"pista"	"1"	"1"
"permanentas"	"1"	"1"
"penetreras"	"1"	"1"
"pausas"	"1"	"1"
"patrulleras"	"1"	"1"
"paralysera"	"1"	"1"
"orsakas"	"1"	"1"
"omringa"	"1"	"1"
"omprövas"	"1"	"1"
"omkullkastas"	"1"	"1"
"omintetgöra"	"1"	"1"
"omges"	"1"	"1"
"omfördela"	"1"	"1"
"ombesörja"	"1"	"1"
"omasfalteras"	"1"	"1"
"ogiltigförklara"	"1"	"1"
"odlas"	"1"	"1"
"odla"	"1"	"1"
"nyttjas"	"1"	"1"
"nyrekrytera"	"1"	"1"
"nybildas"	"1"	"1"
"nyanställas"	"1"	"1"
"noteras"	"1"	"1"
"normalisera"	"1"	"1"
"neka"	"1"	"1"
"nedgradera"	"1"	"1"
"nagelfaras"	"1"	"1"
"nagelfara"	"1"	"1"
"mönstra"	"1"	"1"
"möjliggöra"	"1"	"1"
"mätas"	"1"	"1"
"mäta"	"1"	"1"
"märlas"	"1"	"1"
"målas"	"1"	"1"
"måla"	"1"	"1"
"mynna"	"1"	"1"
"muddras"	"1"	"1"
"muddra"	"1"	"1"
"mottas"	"1"	"1"
"motta"	"1"	"1"
"motsvara"	"1"	"1"
"motivera"	"1"	"1"
"motbevisas"	"1"	"1"
"mobiliseras"	"1"	"1"
"mista"	"1"	"1"
"missgynnas"	"1"	"1"
"missgynna"	"1"	"1"
"minimeras"	"1"	"1"
"mejla"	"1"	"1"
"medla"	"1"	"1"
"markeras"	"1"	"1"
"markera"	"1"	"1"
"manifestera"	"1"	"1"
"länkas"	"1"	"1"
"läcka"	"1"	"1"
"luta"	"1"	"1"
"lussa"	"1"	"1"
"lura"	"1"	"1"
"luckras"	"1"	"1"
"lottas"	"1"	"1"
"lossna"	"1"	"1"
"ljussätta"	"1"	"1"
"ljusna"	"1"	"1"
"ljuda"	"1"	"1"
"livestreamas"	"1"	"1"
"lita"	"1"	"1"
"listas"	"1"	"1"
"lista"	"1"	"1"
"likställa"	"1"	"1"
"lida"	"1"	"1"
"legalisera"	"1"	"1"
"lastas"	"1"	"1"
"lagföras"	"1"	"1"
"laga"	"1"	"1"
"laddas"	"1"	"1"
"kötta"	"1"	"1"
"känneteckna"	"1"	"1"
"kylas"	"1"	"1"
"kungöras"	"1"	"1"
"kullkastas"	"1"	"1"
"krypa"	"1"	"1"
"krocka"	"1"	"1"
"kritiseras"	"1"	"1"
"kritisera"	"1"	"1"
"kriminaliseras"	"1"	"1"
"kriga"	"1"	"1"
"kremeras"	"1"	"1"
"krediteras"	"1"	"1"
"kratta"	"1"	"1"
"krama"	"1"	"1"
"kostnadseffektivisera"	"1"	"1"
"kortsluta"	"1"	"1"
"korsa"	"1"	"1"
"koppla"	"1"	"1"
"koordinera"	"1"	"1"
"konvertera"	"1"	"1"
"koncentreras"	"1"	"1"
"komposteras"	"1"	"1"
"kompetensutvecklas"	"1"	"1"
"kommuniceras"	"1"	"1"
"kommunicera"	"1"	"1"
"kombineras"	"1"	"1"
"kollaborera"	"1"	"1"
"kolla"	"1"	"1"
"knytas"	"1"	"1"
"knyta"	"1"	"1"
"knoppas"	"1"	"1"
"klätta"	"1"	"1"
"kläckas"	"1"	"1"
"klä"	"1"	"1"
"klubbas"	"1"	"1"
"klubba"	"1"	"1"
"kliva"	"1"	"1"
"klippas"	"1"	"1"
"klinga"	"1"	"1"
"kampanja"	"1"	"1"
"kamma"	"1"	"1"
"kamerövervakas"	"1"	"1"
"kameraövervaka"	"1"	"1"
"kacklas"	"1"	"1"
"jämna"	"1"	"1"
"jämföra"	"1"	"1"
"justeras"	"1"	"1"
"jubla"	"1"	"1"
"jogga"	"1"	"1"
"JO-anmälas"	"1"	"1"
"isoleras"	"1"	"1"
"invänta"	"1"	"1"
"investeras"	"1"	"1"
"inventeras"	"1"	"1"
"introducera"	"1"	"1"
"intervjuas"	"1"	"1"
"intervjua"	"1"	"1"
"integreras"	"1"	"1"
"installera"	"1"	"1"
"inspektera"	"1"	"1"
"insjukna"	"1"	"1"
"insistera"	"1"	"1"
"inrättas"	"1"	"1"
"inrymmas"	"1"	"1"
"inrikta"	"1"	"1"
"inreda"	"1"	"1"
"innefattas"	"1"	"1"
"inlämnas"	"1"	"1"
"inkorporera"	"1"	"1"
"initiera"	"1"	"1"
"inhysas"	"1"	"1"
"inhysa"	"1"	"1"
"ingjuta"	"1"	"1"
"infalla"	"1"	"1"
"inbringa"	"1"	"1"
"inbjuda"	"1"	"1"
"improvisera"	"1"	"1"
"implementeras"	"1"	"1"
"implementera"	"1"	"1"
"hörsammas"	"1"	"1"
"häva"	"1"	"1"
"härbärgas"	"1"	"1"
"hårdna"	"1"	"1"
"husera"	"1"	"1"
"huggas"	"1"	"1"
"hugga"	"1"	"1"
"hojta"	"1"	"1"
"hissas"	"1"	"1"
"handlas"	"1"	"1"
"haka"	"1"	"1"
"haja"	"1"	"1"
"gömma"	"1"	"1"
"gästas"	"1"	"1"
"gynnas"	"1"	"1"
"grävas"	"1"	"1"
"gråna"	"1"	"1"
"grusa"	"1"	"1"
"grunda"	"1"	"1"
"gripa"	"1"	"1"
"greja"	"1"	"1"
"godta"	"1"	"1"
"glömmas"	"1"	"1"
"glöda"	"1"	"1"
"glesa"	"1"	"1"
"gilla"	"1"	"1"
"gifta"	"1"	"1"
"gestaltas"	"1"	"1"
"genrepa"	"1"	"1"
"genomsyra"	"1"	"1"
"genomdriva"	"1"	"1"
"generaliseras"	"1"	"1"
"gapa"	"1"	"1"
"galoppera"	"1"	"1"
"förädlas"	"1"	"1"
"föryngra"	"1"	"1"
"förvärra"	"1"	"1"
"förväras"	"1"	"1"
"förverkas"	"1"	"1"
"förvara"	"1"	"1"
"förvandla"	"1"	"1"
"förvaltas"	"1"	"1"
"förtydliga"	"1"	"1"
"försörja"	"1"	"1"
"försättas"	"1"	"1"
"försvaga"	"1"	"1"
"förslå"	"1"	"1"
"förskjutas"	"1"	"1"
"försitta"	"1"	"1"
"försigå"	"1"	"1"
"förorda"	"1"	"1"
"förneka"	"1"	"1"
"förmå"	"1"	"1"
"förlägga"	"1"	"1"
"förlita"	"1"	"1"
"förintas"	"1"	"1"
"förgöras"	"1"	"1"
"förgöra"	"1"	"1"
"föreställa"	"1"	"1"
"förenklas"	"1"	"1"
"förenkla"	"1"	"1"
"förena"	"1"	"1"
"föredra"	"1"	"1"
"fördömas"	"1"	"1"
"fördyra"	"1"	"1"
"fördröja"	"1"	"1"
"fördjupas"	"1"	"1"
"förbereda"	"1"	"1"
"föda"	"1"	"1"
"färdigställa"	"1"	"1"
"fängslas"	"1"	"1"
"fälla"	"1"	"1"
"fånga"	"1"	"1"
"fundera"	"1"	"1"
"fullföljas"	"1"	"1"
"främja"	"1"	"1"
"frysa"	"1"	"1"
"frigöras"	"1"	"1"
"fotograferas"	"1"	"1"
"fotografera"	"1"	"1"
"fortskrida"	"1"	"1"
"forslas"	"1"	"1"
"forsla"	"1"	"1"
"forska"	"1"	"1"
"flygas"	"1"	"1"
"fly"	"1"	"1"
"flisas"	"1"	"1"
"fjärrköras"	"1"	"1"
"fixas"	"1"	"1"
"finna"	"1"	"1"
"finansera"	"1"	"1"
"finaniseras"	"1"	"1"
"filmatiseras"	"1"	"1"
"filmas"	"1"	"1"
"faxas"	"1"	"1"
"fasta"	"1"	"1"
"faktureras"	"1"	"1"
"fakturera"	"1"	"1"
"fajtas"	"1"	"1"
"exporteras"	"1"	"1"
"existera"	"1"	"1"
"examineras"	"1"	"1"
"etsa"	"1"	"1"
"eskalera"	"1"	"1"
"erhålla"	"1"	"1"
"elimineras"	"1"	"1"
"eldas"	"1"	"1"
"efterlikna"	"1"	"1"
"efterfråga"	"1"	"1"
"effektivisera"	"1"	"1"
"döpas"	"1"	"1"
"dryftas"	"1"	"1"
"drifta"	"1"	"1"
"drickas"	"1"	"1"
"donera"	"1"	"1"
"dokumentera"	"1"	"1"
"DO-anmäla"	"1"	"1"
"distribueras"	"1"	"1"
"direktsändas"	"1"	"1"
"digna"	"1"	"1"
"digitaliseras"	"1"	"1"
"detonera"	"1"	"1"
"deltaga"	"1"	"1"
"definiera"	"1"	"1"
"debutera"	"1"	"1"
"debitera"	"1"	"1"
"countrifieras"	"1"	"1"
"coachas"	"1"	"1"
"coacha"	"1"	"1"
"certifieras"	"1"	"1"
"censureras"	"1"	"1"
"censurera"	"1"	"1"
"bötfällas"	"1"	"1"
"bötfälla"	"1"	"1"
"böka"	"1"	"1"
"bättra"	"1"	"1"
"bänka"	"1"	"1"
"bussa"	"1"	"1"
"bunkra"	"1"	"1"
"bullra"	"1"	"1"
"bränna"	"1"	"1"
"bråka"	"1"	"1"
"brottsrubriceras"	"1"	"1"
"bromsas"	"1"	"1"
"bromsa"	"1"	"1"
"brista"	"1"	"1"
"bringa"	"1"	"1"
"breddas"	"1"	"1"
"breda"	"1"	"1"
"brandbevaka"	"1"	"1"
"borras"	"1"	"1"
"borra"	"1"	"1"
"borga"	"1"	"1"
"bojkottas"	"1"	"1"
"bogsera"	"1"	"1"
"blunda"	"1"	"1"
"blomma"	"1"	"1"
"blekna"	"1"	"1"
"bita"	"1"	"1"
"bindas"	"1"	"1"
"bevisa"	"1"	"1"
"bevattnas"	"1"	"1"
"betrakta"	"1"	"1"
"besökas"	"1"	"1"
"beställas"	"1"	"1"
"bespara"	"1"	"1"
"beslagta"	"1"	"1"
"besegras"	"1"	"1"
"berättas"	"1"	"1"
"bero"	"1"	"1"
"beordra"	"1"	"1"
"benådas"	"1"	"1"
"benåda"	"1"	"1"
"bemannas"	"1"	"1"
"belönas"	"1"	"1"
"beläggas"	"1"	"1"
"belägga"	"1"	"1"
"belysas"	"1"	"1"
"belastas"	"1"	"1"
"bekostas"	"1"	"1"
"bekosta"	"1"	"1"
"behållas"	"1"	"1"
"begränsa"	"1"	"1"
"befria"	"1"	"1"
"bearbeta"	"1"	"1"
"basuneras"	"1"	"1"
"bantas"	"1"	"1"
"bana"	"1"	"1"
"avvisas"	"1"	"1"
"avvika"	"1"	"1"
"avverka"	"1"	"1"
"avtäcka"	"1"	"1"
"avtjäna"	"1"	"1"
"avsäga"	"1"	"1"
"avstå"	"1"	"1"
"avslå"	"1"	"1"
"avskrivas"	"1"	"1"
"avskedas"	"1"	"1"
"avskeda"	"1"	"1"
"avrapporteras"	"1"	"1"
"avlösas"	"1"	"1"
"avlöpa"	"1"	"1"
"avlägsna"	"1"	"1"
"avlyssnas"	"1"	"1"
"avgiftbeläggas"	"1"	"1"
"avfärdas"	"1"	"1"
"avfyra"	"1"	"1"
"avfolkas"	"1"	"1"
"avancera"	"1"	"1"
"automatiseras"	"1"	"1"
"attrahera"	"1"	"1"
"attackeras"	"1"	"1"
"attackera"	"1"	"1"
"arrestera"	"1"	"1"
"argumentera"	"1"	"1"
"applådera"	"1"	"1"
"antecknas"	"1"	"1"
"anslå"	"1"	"1"
"anses"	"1"	"1"
"anse"	"1"	"1"
"annordnas"	"1"	"1"
"annonseras"	"1"	"1"
"annonsera"	"1"	"1"
"anlitas"	"1"	"1"
"anklagas"	"1"	"1"
"anfalla"	"1"	"1"
"andas"	"1"	"1"
"aktiver"	"1"	"1"
"abdikera"	"1"	"1"
