"lemma"	"Totalt"	"SVT nyheter 2004"	"SVT nyheter 2005"	"SVT nyheter 2006"	"SVT nyheter 2007"	"SVT nyheter 2008"	"SVT nyheter 2009"	"SVT nyheter 2010"	"SVT nyheter 2011"	"SVT nyheter 2012"	"SVT nyheter 2013"	"SVT nyheter 2014"	"SVT nyheter 2015"	"SVT nyheter 2016"	"SVT nyheter 2017"	"SVT nyheter 2018"	"SVT nyheter 2019"	"SVT nyheter 2020"	"SVT nyheter 2021"	"SVT nyheter 2022"	"SVT nyheter 2023"	"SVT nyheter okänt datum"
"komma"	"1357"	"1"	"8"	"10"	"11"	"25"	"22"	"37"	"35"	"33"	"72"	"84"	"145"	"111"	"105"	"127"	"120"	"144"	"118"	"103"	"46"	"0"
"se_ut"	"1354"	"0"	"13"	"9"	"24"	"30"	"40"	"52"	"36"	"52"	"72"	"99"	"96"	"129"	"112"	"97"	"92"	"162"	"112"	"92"	"35"	"0"
"använda"	"1290"	"1"	"15"	"24"	"32"	"46"	"52"	"50"	"41"	"36"	"62"	"74"	"116"	"129"	"130"	"97"	"98"	"90"	"89"	"70"	"38"	"0"
"ta_tid"	"1282"	"3"	"13"	"20"	"22"	"30"	"53"	"61"	"58"	"41"	"78"	"83"	"113"	"114"	"127"	"100"	"94"	"82"	"103"	"53"	"34"	"0"
"kräva"	"1273"	"5"	"23"	"22"	"38"	"40"	"58"	"48"	"36"	"61"	"79"	"81"	"82"	"112"	"96"	"115"	"86"	"82"	"97"	"82"	"30"	"0"
"lämna"	"1266"	"3"	"18"	"16"	"38"	"46"	"60"	"43"	"65"	"45"	"65"	"71"	"74"	"124"	"132"	"113"	"99"	"87"	"72"	"62"	"33"	"0"
"innebära"	"1239"	"1"	"18"	"23"	"49"	"60"	"50"	"52"	"40"	"57"	"70"	"108"	"91"	"137"	"97"	"90"	"91"	"67"	"58"	"49"	"31"	"0"
"tas"	"1239"	"0"	"14"	"23"	"43"	"46"	"57"	"48"	"48"	"37"	"76"	"84"	"84"	"130"	"112"	"104"	"78"	"100"	"69"	"57"	"29"	"0"
"stå"	"1233"	"0"	"23"	"25"	"35"	"35"	"39"	"60"	"45"	"33"	"80"	"85"	"104"	"123"	"127"	"93"	"100"	"81"	"53"	"72"	"20"	"0"
"utreda"	"1190"	"0"	"11"	"15"	"24"	"23"	"28"	"35"	"22"	"37"	"73"	"63"	"89"	"98"	"131"	"121"	"113"	"92"	"83"	"83"	"49"	"0"
"följa"	"1158"	"1"	"15"	"18"	"17"	"30"	"48"	"43"	"57"	"55"	"57"	"89"	"85"	"117"	"102"	"86"	"88"	"86"	"77"	"66"	"21"	"0"
"drabba"	"1099"	"5"	"6"	"26"	"47"	"68"	"87"	"56"	"42"	"64"	"79"	"85"	"72"	"96"	"77"	"54"	"78"	"62"	"33"	"44"	"18"	"0"
"bygga"	"1024"	"2"	"11"	"17"	"35"	"46"	"45"	"46"	"39"	"39"	"62"	"63"	"95"	"112"	"113"	"87"	"69"	"43"	"44"	"36"	"20"	"0"
"minska"	"966"	"0"	"16"	"22"	"31"	"61"	"75"	"45"	"33"	"48"	"53"	"76"	"93"	"76"	"66"	"57"	"59"	"55"	"42"	"41"	"17"	"0"
"jobba"	"952"	"0"	"5"	"6"	"13"	"22"	"30"	"30"	"26"	"35"	"59"	"70"	"84"	"118"	"91"	"81"	"79"	"71"	"59"	"47"	"26"	"0"
"visa"	"951"	"2"	"7"	"10"	"22"	"36"	"36"	"52"	"43"	"36"	"68"	"71"	"71"	"107"	"78"	"88"	"68"	"57"	"38"	"38"	"23"	"0"
"köra"	"932"	"7"	"28"	"28"	"33"	"34"	"45"	"42"	"34"	"29"	"45"	"59"	"78"	"62"	"58"	"72"	"67"	"75"	"69"	"44"	"23"	"0"
"erbjuda"	"932"	"0"	"9"	"25"	"31"	"50"	"59"	"45"	"34"	"32"	"40"	"52"	"66"	"69"	"74"	"50"	"39"	"98"	"100"	"33"	"26"	"0"
"delta"	"904"	"5"	"12"	"13"	"16"	"14"	"24"	"26"	"46"	"25"	"50"	"65"	"89"	"93"	"114"	"76"	"74"	"52"	"40"	"43"	"27"	"0"
"presentera"	"864"	"0"	"9"	"15"	"29"	"41"	"42"	"46"	"28"	"32"	"54"	"69"	"73"	"104"	"69"	"72"	"43"	"59"	"25"	"36"	"18"	"0"
"flytta"	"863"	"0"	"19"	"16"	"19"	"25"	"32"	"31"	"43"	"33"	"62"	"61"	"96"	"84"	"90"	"58"	"47"	"57"	"39"	"34"	"17"	"0"
"börja"	"861"	"1"	"10"	"12"	"24"	"35"	"43"	"32"	"41"	"43"	"57"	"56"	"53"	"85"	"71"	"56"	"42"	"76"	"67"	"42"	"15"	"0"
"sätta"	"830"	"0"	"14"	"11"	"16"	"34"	"22"	"35"	"37"	"30"	"62"	"70"	"61"	"89"	"71"	"76"	"51"	"70"	"32"	"32"	"17"	"0"
"rösta"	"811"	"3"	"8"	"8"	"5"	"11"	"21"	"23"	"21"	"16"	"47"	"101"	"44"	"96"	"58"	"96"	"81"	"41"	"57"	"65"	"9"	"0"
"stänga"	"809"	"0"	"10"	"16"	"14"	"26"	"23"	"19"	"28"	"22"	"42"	"42"	"73"	"90"	"64"	"88"	"83"	"65"	"53"	"36"	"15"	"0"
"klara"	"803"	"0"	"10"	"13"	"19"	"22"	"34"	"39"	"32"	"26"	"36"	"52"	"85"	"76"	"64"	"63"	"59"	"82"	"42"	"33"	"16"	"0"
"arbeta"	"785"	"1"	"11"	"13"	"12"	"20"	"28"	"43"	"21"	"24"	"41"	"50"	"74"	"90"	"91"	"66"	"56"	"45"	"43"	"35"	"21"	"0"
