"lemma"	"Totalt"	"SVT nyheter 2004"	"SVT nyheter 2005"	"SVT nyheter 2006"	"SVT nyheter 2007"	"SVT nyheter 2008"	"SVT nyheter 2009"	"SVT nyheter 2010"	"SVT nyheter 2011"	"SVT nyheter 2012"	"SVT nyheter 2013"	"SVT nyheter 2014"	"SVT nyheter 2015"	"SVT nyheter 2016"	"SVT nyheter 2017"	"SVT nyheter 2018"	"SVT nyheter 2019"	"SVT nyheter 2020"	"SVT nyheter 2021"	"SVT nyheter 2022"	"SVT nyheter 2023"	"SVT nyheter okänt datum"
"Σ"	"86340"	"17"	"169"	"318"	"536"	"795"	"1243"	"1326"	"1346"	"2013"	"3462"	"4322"	"6198"	"7813"	"9099"	"8931"	"9156"	"8952"	"8087"	"8224"	"4327"	"6"
"bli"	"7337"	"2"	"9"	"23"	"48"	"75"	"113"	"128"	"121"	"193"	"336"	"389"	"564"	"684"	"726"	"722"	"761"	"686"	"676"	"721"	"360"	"0"
"vara"	"5955"	"1"	"9"	"12"	"23"	"38"	"72"	"69"	"77"	"118"	"182"	"250"	"409"	"547"	"674"	"624"	"699"	"632"	"582"	"615"	"322"	"0"
"få"	"3965"	"1"	"16"	"20"	"34"	"34"	"90"	"63"	"72"	"107"	"148"	"224"	"327"	"366"	"395"	"384"	"382"	"402"	"369"	"348"	"182"	"1"
"ta"	"2642"	"1"	"3"	"12"	"22"	"23"	"26"	"36"	"50"	"72"	"122"	"130"	"197"	"279"	"279"	"261"	"269"	"223"	"247"	"262"	"128"	"0"
"fortsätta"	"2445"	"0"	"7"	"10"	"21"	"22"	"38"	"36"	"37"	"55"	"102"	"117"	"160"	"207"	"278"	"242"	"251"	"263"	"227"	"243"	"129"	"0"
"kunna"	"2443"	"0"	"4"	"8"	"12"	"10"	"19"	"27"	"27"	"58"	"84"	"104"	"182"	"197"	"247"	"247"	"233"	"355"	"301"	"207"	"121"	"0"
"ha"	"2369"	"2"	"2"	"3"	"7"	"18"	"30"	"37"	"27"	"48"	"88"	"148"	"151"	"242"	"234"	"248"	"236"	"264"	"254"	"219"	"110"	"1"
"göra"	"2040"	"0"	"4"	"8"	"8"	"11"	"28"	"22"	"26"	"43"	"92"	"110"	"131"	"170"	"223"	"208"	"228"	"217"	"222"	"187"	"102"	"0"
"gå"	"1926"	"1"	"3"	"8"	"3"	"18"	"30"	"31"	"29"	"47"	"72"	"103"	"125"	"176"	"222"	"202"	"187"	"213"	"184"	"174"	"98"	"0"
"behöva"	"1395"	"0"	"1"	"3"	"1"	"8"	"9"	"8"	"17"	"22"	"28"	"45"	"82"	"83"	"128"	"146"	"170"	"204"	"154"	"191"	"95"	"0"
"finna"	"1120"	"0"	"4"	"1"	"6"	"12"	"23"	"23"	"14"	"32"	"37"	"42"	"84"	"110"	"141"	"126"	"114"	"123"	"96"	"87"	"45"	"0"
"finnas"	"1107"	"0"	"4"	"1"	"6"	"12"	"23"	"23"	"14"	"31"	"37"	"42"	"84"	"108"	"139"	"126"	"112"	"121"	"94"	"85"	"45"	"0"
"se"	"1099"	"0"	"1"	"1"	"4"	"4"	"11"	"19"	"17"	"17"	"54"	"39"	"73"	"82"	"86"	"90"	"130"	"167"	"112"	"114"	"77"	"1"
"hålla"	"1071"	"0"	"1"	"5"	"6"	"6"	"11"	"12"	"12"	"17"	"40"	"48"	"83"	"103"	"137"	"118"	"120"	"107"	"100"	"88"	"57"	"0"
"påverka"	"971"	"0"	"1"	"1"	"4"	"13"	"22"	"14"	"8"	"18"	"31"	"33"	"74"	"83"	"90"	"104"	"116"	"105"	"83"	"108"	"63"	"0"
"ske"	"766"	"1"	"3"	"2"	"3"	"2"	"6"	"13"	"19"	"9"	"27"	"36"	"45"	"83"	"86"	"74"	"87"	"89"	"69"	"67"	"45"	"0"
"hända"	"701"	"0"	"1"	"3"	"6"	"4"	"3"	"7"	"14"	"25"	"34"	"33"	"66"	"86"	"62"	"63"	"70"	"76"	"55"	"66"	"27"	"0"
"leda"	"689"	"0"	"1"	"2"	"5"	"6"	"7"	"11"	"14"	"27"	"39"	"56"	"54"	"50"	"71"	"74"	"70"	"54"	"60"	"59"	"29"	"0"
"ge"	"686"	"0"	"2"	"4"	"4"	"5"	"5"	"14"	"14"	"20"	"45"	"30"	"44"	"53"	"66"	"78"	"61"	"57"	"60"	"72"	"52"	"0"
"innebära"	"673"	"0"	"1"	"5"	"5"	"7"	"14"	"10"	"18"	"16"	"22"	"44"	"52"	"72"	"66"	"60"	"61"	"70"	"54"	"69"	"27"	"0"
"spela"	"580"	"0"	"1"	"5"	"10"	"7"	"8"	"14"	"11"	"14"	"32"	"38"	"32"	"39"	"51"	"64"	"68"	"59"	"57"	"39"	"31"	"0"
"komma"	"543"	"0"	"0"	"0"	"4"	"0"	"6"	"4"	"4"	"15"	"15"	"32"	"46"	"63"	"44"	"64"	"47"	"72"	"44"	"56"	"27"	"0"
"öka"	"534"	"0"	"1"	"1"	"7"	"11"	"11"	"13"	"15"	"7"	"23"	"27"	"45"	"32"	"45"	"48"	"40"	"60"	"61"	"56"	"30"	"1"
"ta_tid"	"533"	"0"	"1"	"3"	"3"	"2"	"3"	"12"	"11"	"14"	"23"	"29"	"40"	"57"	"50"	"49"	"60"	"39"	"55"	"58"	"24"	"0"
"kosta"	"520"	"0"	"4"	"3"	"8"	"11"	"11"	"18"	"16"	"25"	"26"	"28"	"38"	"46"	"41"	"43"	"47"	"48"	"44"	"42"	"21"	"0"
"stå"	"480"	"0"	"2"	"5"	"4"	"6"	"9"	"8"	"8"	"7"	"22"	"35"	"33"	"45"	"47"	"45"	"38"	"53"	"42"	"48"	"23"	"0"
"kräva"	"478"	"0"	"1"	"1"	"5"	"6"	"3"	"4"	"13"	"12"	"20"	"17"	"34"	"33"	"39"	"62"	"55"	"42"	"60"	"52"	"19"	"0"
"se_ut"	"470"	"0"	"1"	"1"	"3"	"1"	"6"	"9"	"5"	"8"	"24"	"14"	"32"	"30"	"36"	"40"	"62"	"70"	"54"	"50"	"24"	"0"
"ligga"	"440"	"0"	"0"	"0"	"3"	"4"	"4"	"9"	"7"	"13"	"20"	"22"	"29"	"45"	"56"	"55"	"52"	"38"	"25"	"36"	"22"	"0"
"pågå"	"411"	"0"	"0"	"1"	"5"	"4"	"3"	"7"	"8"	"7"	"10"	"22"	"28"	"37"	"57"	"34"	"40"	"52"	"32"	"40"	"24"	"0"
"hållas"	"410"	"0"	"1"	"1"	"4"	"2"	"7"	"6"	"6"	"11"	"15"	"22"	"38"	"44"	"54"	"49"	"38"	"31"	"28"	"33"	"20"	"0"
"genomföra"	"373"	"0"	"3"	"2"	"2"	"2"	"5"	"3"	"6"	"2"	"6"	"15"	"24"	"34"	"40"	"40"	"46"	"56"	"29"	"32"	"26"	"0"
"jobba"	"365"	"0"	"0"	"1"	"1"	"2"	"2"	"3"	"7"	"8"	"8"	"28"	"27"	"40"	"43"	"33"	"39"	"39"	"31"	"40"	"13"	"0"
"använda"	"363"	"0"	"2"	"2"	"3"	"4"	"5"	"4"	"4"	"6"	"13"	"20"	"17"	"38"	"30"	"32"	"41"	"35"	"38"	"46"	"23"	"0"
"lägga"	"346"	"0"	"0"	"0"	"2"	"2"	"5"	"9"	"5"	"7"	"18"	"20"	"28"	"38"	"31"	"42"	"37"	"25"	"33"	"32"	"12"	"0"
"överklaga"	"334"	"0"	"1"	"8"	"2"	"3"	"0"	"4"	"9"	"9"	"15"	"12"	"19"	"21"	"33"	"33"	"35"	"34"	"42"	"30"	"24"	"0"
"börja"	"321"	"0"	"0"	"1"	"4"	"4"	"4"	"3"	"4"	"6"	"17"	"12"	"24"	"27"	"42"	"32"	"27"	"45"	"31"	"23"	"15"	"0"
"följa"	"309"	"0"	"0"	"1"	"3"	"2"	"3"	"4"	"3"	"8"	"13"	"16"	"15"	"26"	"33"	"31"	"24"	"34"	"40"	"38"	"15"	"0"
"ställa"	"306"	"0"	"1"	"0"	"1"	"2"	"7"	"6"	"8"	"7"	"17"	"17"	"22"	"26"	"36"	"26"	"29"	"29"	"26"	"29"	"17"	"0"
"tas"	"304"	"0"	"1"	"1"	"1"	"3"	"7"	"4"	"9"	"13"	"15"	"9"	"20"	"23"	"37"	"31"	"42"	"25"	"24"	"27"	"12"	"0"
"dröja"	"303"	"0"	"0"	"2"	"5"	"3"	"6"	"6"	"10"	"8"	"11"	"12"	"22"	"32"	"37"	"33"	"20"	"37"	"26"	"20"	"13"	"0"
"krävas"	"291"	"0"	"1"	"0"	"2"	"2"	"3"	"4"	"6"	"5"	"14"	"9"	"17"	"21"	"24"	"40"	"34"	"23"	"35"	"37"	"14"	"0"
"drabba"	"284"	"0"	"0"	"3"	"1"	"11"	"13"	"10"	"8"	"11"	"15"	"15"	"21"	"20"	"23"	"21"	"32"	"32"	"19"	"14"	"15"	"0"
"klara"	"283"	"0"	"0"	"3"	"4"	"4"	"2"	"5"	"2"	"5"	"9"	"18"	"22"	"31"	"28"	"23"	"29"	"45"	"25"	"26"	"2"	"0"
"köra"	"281"	"1"	"1"	"0"	"2"	"4"	"3"	"4"	"8"	"6"	"13"	"9"	"12"	"33"	"19"	"19"	"21"	"35"	"31"	"38"	"22"	"0"
"lämna"	"277"	"0"	"1"	"3"	"3"	"4"	"7"	"4"	"1"	"6"	"13"	"14"	"11"	"29"	"34"	"29"	"30"	"23"	"24"	"23"	"18"	"0"
"erbjuda"	"256"	"1"	"1"	"4"	"2"	"3"	"7"	"2"	"6"	"2"	"9"	"10"	"22"	"23"	"22"	"11"	"20"	"27"	"49"	"20"	"15"	"0"
"sätta"	"255"	"0"	"1"	"2"	"2"	"3"	"5"	"2"	"1"	"8"	"4"	"19"	"22"	"23"	"21"	"34"	"27"	"30"	"17"	"16"	"18"	"0"
"visa"	"252"	"0"	"0"	"0"	"0"	"2"	"2"	"5"	"7"	"3"	"15"	"16"	"15"	"27"	"20"	"38"	"29"	"21"	"23"	"18"	"11"	"0"
"märka"	"249"	"0"	"0"	"0"	"2"	"2"	"4"	"3"	"3"	"5"	"8"	"17"	"16"	"30"	"25"	"21"	"36"	"17"	"24"	"18"	"18"	"0"
"utreda"	"246"	"0"	"0"	"2"	"1"	"0"	"2"	"0"	"4"	"1"	"9"	"8"	"12"	"13"	"25"	"33"	"34"	"15"	"34"	"34"	"19"	"0"
"åka"	"242"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"1"	"5"	"10"	"23"	"23"	"25"	"36"	"21"	"20"	"20"	"18"	"22"	"13"	"0"
"hjälpa"	"240"	"0"	"1"	"3"	"1"	"1"	"2"	"5"	"4"	"5"	"9"	"11"	"26"	"24"	"21"	"29"	"29"	"16"	"19"	"23"	"11"	"0"
"känna"	"239"	"0"	"1"	"0"	"3"	"2"	"3"	"1"	"5"	"5"	"10"	"9"	"25"	"17"	"22"	"29"	"19"	"30"	"25"	"19"	"14"	"0"
"bygga"	"239"	"0"	"0"	"5"	"2"	"2"	"4"	"10"	"1"	"5"	"9"	"11"	"16"	"30"	"32"	"27"	"25"	"17"	"16"	"23"	"4"	"0"
"försöka"	"234"	"0"	"0"	"0"	"0"	"1"	"4"	"3"	"3"	"6"	"8"	"18"	"18"	"23"	"25"	"21"	"19"	"25"	"25"	"24"	"11"	"0"
"sakna"	"221"	"0"	"0"	"0"	"1"	"2"	"1"	"2"	"2"	"2"	"8"	"12"	"17"	"14"	"21"	"18"	"31"	"23"	"20"	"28"	"19"	"0"
"behövas"	"219"	"0"	"0"	"1"	"0"	"1"	"3"	"1"	"4"	"4"	"3"	"9"	"16"	"19"	"18"	"22"	"24"	"32"	"25"	"26"	"11"	"0"
"slå"	"218"	"0"	"1"	"0"	"2"	"2"	"7"	"2"	"2"	"5"	"10"	"14"	"14"	"17"	"23"	"25"	"27"	"23"	"17"	"15"	"12"	"0"
