user	age_at_first_post	status	post_id(s)	comment
AnnaKanna	19
Heliotrop	17
Fru E	16
smultronkyss	16
Lexis	18
Coockie	19
Sabbi	18
Amandass	18
Saandraa	20
DaVinci	19
MissUniversum	20
Michas	16
Blåbärssaft	19
Ellieott	20
Sanna K	18
flygrl	20
icy	18
ElinOlsson	16
Sossie	18
Summermom11	17
Hihi2	18
ankii	20
Marylo	19
JackAnneli	17
Pirog	19
pratglada tjejen	19
Billa	18
smörblomman	16
Chessy	20
llinaa	16
Lieea	19
CTS	16
Angiie	16
MariaN	20
Alux	18
caca	16
äppelmos	20
Vinterstorm	17
Miss A	19
Anna A	17
Carolines	17
AngelicaS	20
babyfever	18
Sallisen	16
izzabella	19
Vanillas	17
cariny	20
