user	age_at_first_post	status	post_id(s)	comment
AnnaKanna	19
Heliotrop	17
Fru E	16
1991	16
smultronkyss	16
Lexis	18
Coockie	19
Sabbi	18
Amandass	18
Blåbärssaft	19
Ellieott	20
Sanna K	18
Bevabus	19
flygrl	20
maddis88	19
icy	18
janniahlholm	20
ElinOlsson	16
FridaochSamuel	20
Sossie	18
Summermom11	17
Hihi2	18
ankii	20
Marylo	19
JackAnneli	17
Billa	18
smörblomman	16
Chessy	20
SolochMåne	20
llinaa	16
alvanova	19
Lieea	19
CTS	16
Angiie	16
TessK	20
Alux	18
caca	16
Vinterstorm	17
Miss A	19
Anna A	17
Carolines	17
AngelicaS	20
babyfever	18
Sallisen	16
Pusselbiten86	20
izzabella	19
Vanillas	17
