period	v1ipm	v1abs
2003	38.4252205030548	263
2004	51.722108277729994	4989
2005	60.01822622753023	13947
2006	69.73790418624999	32717
2007	84.4273643066551	53608
2008	85.23113011812077	53077
2009	96.87037243973867	57469
2010	91.28572467490261	37623
2011	103.69201545171272	37402
2012	96.00265208746652	27883
2013	91.03897155323344	18914
2014	86.746400392565	12016
2015	88.73233992158755	7878
2016	68.64564657411147	4389
2017	72.01880925901241	4432
2018	68.67973905237528	3882
2019	69.0244482716075	3158
2020	73.63928160107437	3070
2021	70.37648890566501	2864
