period	v1ipm	v1abs
1998	32.33211549031653	1
1999	28.244269736098836	17
2000	37.70718752861706	7
2001	113.81576531923486	31
2002	152.38138238132595	27
2003	116.47518146833272	25
2004	96.38039966886448	56
2005	67.70995692503584	308
2006	83.97897747502869	659
2007	77.94386807069044	1427
2008	79.49916730955637	3295
2009	77.85718221167478	5562
2010	83.53430723055291	7667
2011	84.24563721826951	7862
2012	84.5002597564132	6011
2013	85.31408364388894	4402
2014	133.58589074983144	2858
2015		
2016		
2017		
