period	v1ipm	v1abs
2003	4.967519000394918	34
2004	22.26887212268133	2148
2005	26.90429302534476	6252
2006	17.679320593131187	8294
2007	15.57739889793281	9891
2008	17.105007288070738	10652
2009	13.341603835410222	7915
2010	14.026612081365318	5781
2011	14.624241292629009	5275
2012	15.965516797460698	4637
2013	11.667299672223967	2424
2014	13.41355679885799	1858
2015	14.068002335446076	1249
2016	16.428570669333418	1051
2017	14.459509701096264	890
2018	16.046208835481334	907
2019	17.354674220306837	794
2020	15.830788634002266	660
2021	18.133907406647047	738
