period	v1ipm	v1abs
2000	0	0
2001		
2002	0.08643840243853106	1
2003	0.07795308300155852	1
2004	0.1459586388247644	7
2005	0.12302555214882765	10
2006	0.12305951753876239	15
2007	0.15621157177254352	27
2008	0.2864725012529182	70
2009	0.3091064377732618	94
2010	0.34692405874968263	127
2011	0.47088052111501283	177
2012	0.5850235925113316	212
2013	0.6374276128162446	208
2014	0.8015886817901203	225
2015	0.9426085234805209	228
2016	1.1686203932541948	261
2017	1.5348088491770364	288
2018	1.236262649439429	235
2019	1.6037001596451435	300
2020	2.0725771444211305	458
2021	2.112105334092986	451
