period	total	v1abs	v2abs	v1rel	v2rel
2000	872	715	157	0.819954128440367	0.18004587155963303
2001	775	569	206	0.7341935483870968	0.2658064516129032
2002	936	624	312	0.6666666666666666	0.3333333333333333
2003	844	548	296	0.6492890995260664	0.35071090047393366
2004	3637	2483	1154	0.6827055265328568	0.31729447346714323
2005	7159	4519	2640	0.6312334124877776	0.36876658751222235
2006	15054	9090	5964	0.6038262255878836	0.3961737744121164
2007	18316	9973	8343	0.544496614981437	0.455503385018563
2008	30880	16268	14612	0.5268134715025907	0.47318652849740933
2009	36779	17400	19379	0.4730960602517741	0.5269039397482259
2010	60358	26954	33404	0.44656880612346334	0.5534311938765367
2011	59230	26153	33077	0.44154989025831504	0.558450109741685
2012	61662	27835	33827	0.45141253932730047	0.5485874606726996
2013	57681	25427	32254	0.44082106759591544	0.5591789324040846
2014	69005	32701	36304	0.47389319614520686	0.5261068038547931
2015	74675	35956	38719	0.48149983260796786	0.5185001673920321
2016	66383	29868	36515	0.44993447117484897	0.550065528825151
2017	54810	26310	28500	0.48002189381499727	0.5199781061850027
2018	77741	35412	42329	0.45551253521307933	0.5444874647869207
2019	58267	25952	32315	0.4453979096229427	0.5546020903770573
2020	59548	24483	35065	0.41114730973332436	0.5888526902666756
2021	64121	26715	37406	0.41663417601097924	0.5833658239890207
