period	v1ipm	v1abs
2003	583.3912755463796	3993
2004	573.3699980773973	55306
2005	605.01057301075	140592
2006	643.5339705647384	301909
2007	666.3380275969474	423098
2008	671.5526412555076	418204
2009	696.394970160018	413141
2010	706.2845644171583	291092
2011	724.2666321769609	261245
2012	718.1244898750875	208572
2013	729.4525272243299	151549
2014	724.4219618668715	100346
2015	705.95035151883	62677
2016	706.5387191476216	45174
2017	765.8823370929091	47132
2018	754.5217699911647	42648
2019	748.2748532547442	34235
2020	765.8965021245293	31930
2021	719.3931875706176	29276
