period	v1ipm	v1abs
2000	5746.937196813686	35779
2001	5409.746525531743	31922
2002	5622.123655602614	65042
2003	5325.841792656082	68316
2004	5430.838139001471	260272
2005	5591.285373412541	452444
2006	5784.844406135359	699171
2007	5544.916928318979	952284
2008	5507.30475265016	1333315
2009	5543.004643425997	1651634
2010	5717.073117575719	2054520
2011	5726.082307531958	2129955
2012	5840.588896928739	2099915
2013	6036.060110774105	1955878
2014	6260.498175781767	1745842
2015	6676.189596242358	1609967
2016	6597.377545992462	1470402
2017	6861.509094541568	1285849
2018	7198.029277860858	1366391
2019	7131.860865106529	1332488
2020	7213.601764465175	1592762
2021	7166.162956261061	1529805
