period	v1ipm	v1abs
2003	4000.3138303180244	27380
2004	3832.681830709673	369692
2005	4239.876501967193	985260
2006	4571.237874486305	2144561
2007	4771.763508022755	3029879
2008	5054.873868878992	3147882
2009	5312.152162603547	3151470
2010	5442.939539799844	2243283
2011	5499.411195306035	1983653
2012	5466.938386456436	1587817
2013	5612.138170146514	1165962
2014	5599.3444236084315	775614
2015	5506.9578859509875	488929
2016	5529.360692411073	353531
2017	5814.8038594866875	357840
2018	5876.540650019585	332161
2019	5666.015436952844	259231
2020	5761.59016328875	240199
2021	5726.493619956001	233042
