period	v1ipm	v1abs
2000	777.0950042814112	4838
2001	777.1786719531538	4586
2002	718.3027517305392	8310
2003	750.1207583719307	9622
2004	724.280071013709	34711
2005	700.9682722076238	56722
2006	718.2539649050241	86810
2007	691.3823462693261	118738
2008	707.0898260254855	171186
2009	705.2150226549877	210131
2010	726.0125210112219	260904
2011	718.4341968645031	267239
2012	720.1681981908622	258928
2013	727.7825486166844	235825
2014	712.9975752610285	198831
2015	759.7991231876816	183226
2016	711.5637100578554	158591
2017	744.9293576446402	139600
2018	770.864284299249	146332
2019	763.6485376609801	142677
2020	713.2569091178261	157487
2021	710.8756079548683	151755
