period	v1ipm	v1abs
2003	75.8277165060283	519
2004	104.41873613415443	10072
2005	136.19967448923293	31650
2006	154.24531468745934	72363
2007	174.588948010425	110857
2008	191.4870202384375	119247
2009	197.80980957643624	117352
2010	190.29687654500205	78430
2011	181.3598356987512	65417
2012	178.7013466500623	51902
2013	169.21677508329677	35156
2014	158.7799875361247	21994
2015	154.16089572312373	13687
2016	149.6628371081505	9569
2017	144.78510615925106	8910
2018	147.49690481186315	8337
2019	120.10428855366787	5495
2020	124.80299093498044	5203
2021	107.23568351407896	4364
