period	v1ipm	v1abs
2004	2093.0747402105153	936
2005	2130.1890599597773	7031
2006	2169.1656813541153	9050
2007	2350.875962876074	13009
2008	2294.513470339517	17653
2009	2550.055101097677	22596
2010	2695.138783948519	26610
2011	2734.511279952843	25505
2012	2944.470270373908	28104
2013	3023.6009909589925	42215
2014	3192.0937584863855	51320
2015	3291.2714579089657	63209
2016	3392.9385166056422	73727
2017	3365.8345512754004	71304
2018	3151.0862309074073	59296
2019	3055.904624869732	55846
2020	2923.4172020232913	46850
2021	2799.7205419989796	41937
2022	2883.0059025636506	27489
