user	age_at_first_post	status	post_id(s)	comment
CuteElliz	20
MammaTillNeoh	19
Merle	17
fluu	18
Denise87	20
Moder Jord	19
MammaTillTindra	17
äppelmos	18
Mach	18
Aiwendil	18
Johje	18
Snurran	17
Ellieott	19
Lily of the valley	20
Pusselbiten86	20
nummerfem	18
Hmpf	18
Felicia111	19
KristallSplitter	19
StephanieH	16
ÖnskarHoppas	17
loveisintheair	20
sannamamma	16
Jannie	18
Melwinsmamma	20
123321	19
Jeenkan	18
copycat	20
TypeONegative	20
Lellehs	20
Tjatte	16
Karlin	19
Mamman88	20
Beloved	19
FruFrank	17
Chessy	19
Tokstollen	17
chariots	18
Puppan	16
ostbåge	16
Ofeliaa	17
nelli	19
Nanna	16
supermamman	17
Johannah	17
mica	16
fågeln	16
Lizzan	17
apriltjej	16
Happyme	16
