period	v1ipm	v1abs
2004	7276.565389578009	3254
2005	7236.159224588156	23884
2006	6919.518680111819	28869
2007	7083.529555908706	39198
2008	6989.862963487692	53777
2009	7367.916772232432	65287
2010	7700.642498398717	76031
2011	7431.802328660701	69317
2012	7543.895436521594	72004
2013	7537.479509310707	105237
2014	7810.864339622854	125577
2015	7843.513994243177	150635
2016	7760.678987159508	168636
2017	7583.559826028687	160655
2018	7226.890006067712	135993
2019	7043.475477276476	128718
2020	7204.897413328012	115464
2021	6915.48398273716	103587
2022	6873.948592739889	65542
