period	v1ipm	v1abs
1998	517.3138478450645	16
1999	516.7039934074551	311
2000	409.392321739271	76
2001	613.1365422036201	167
2002	428.92537262891744	76
2003	531.1268274955972	114
2004	335.6103202755102	195
2005	661.9307801989705	3011
2006	694.5150640954572	5450
2007	608.2571232201883	11136
2008	540.6908465575594	22410
2009	522.911344606135	37356
2010	526.3848943823795	48313
2011	548.8074988261117	51216
2012	579.8480642875614	41248
2013	610.4744027030572	31499
2014	925.5660632008966	19802
2015		
2016		
2017		
