period	v1ipm	v1abs
2003	147.71063851174299	1011
2004	228.44190336736426	22035
2005	262.1230512634489	60912
2006	307.7509817069593	144379
2007	329.8743181163083	209457
2008	330.62812078302454	205896
2009	313.8910893696298	186218
2010	304.08436372249736	125327
2011	314.17555101464876	113324
2012	296.1370048432018	86010
2013	291.8455092623032	60633
2014	273.0244770677776	37819
2015	276.14252067245013	24517
2016	263.72815961099735	16862
2017	250.47335873610498	15414
2018	238.14991431839871	13461
2019	257.4537606685449	11779
2020	230.72842010447374	9619
2021	207.73842081302095	8454
