year	total	v1abs	v2abs	v1rel	v2rel
1983	26.0	7.0	19.0	0.2692307692307692	0.7307692307692307
1985	29.0	8.0	21.0	0.27586206896551724	0.7241379310344828
1986	28.0	5.0	23.0	0.17857142857142858	0.8214285714285714
1987	37.0	5.0	32.0	0.13513513513513514	0.8648648648648649
1988	38.0	9.0	29.0	0.23684210526315788	0.7631578947368421
1989	47.0	8.0	39.0	0.1702127659574468	0.8297872340425532
1990	65.0	9.0	56.0	0.13846153846153847	0.8615384615384616
1991	62.0	7.0	55.0	0.11290322580645161	0.8870967741935484
1992	105.0	22.0	83.0	0.20952380952380953	0.7904761904761904
1993	135.0	21.0	114.0	0.15555555555555556	0.8444444444444444
1994	210.0	42.0	168.0	0.2	0.8
1995	381.0	90.0	291.0	0.23622047244094488	0.7637795275590551
1996	361.0	79.0	282.0	0.2188365650969529	0.7811634349030471
1997	469.0	87.0	382.0	0.18550106609808104	0.814498933901919
1998	467.0	90.0	377.0	0.19271948608137046	0.8072805139186295
1999	621.0	133.0	488.0	0.214170692431562	0.785829307568438
2000	777.0	148.0	629.0	0.19047619047619047	0.8095238095238095
2001	1083.0	221.0	862.0	0.20406278855032317	0.7959372114496768
2002	2305.0	419.0	1886.0	0.18177874186550977	0.8182212581344902
2003	2096.0	419.0	1677.0	0.19990458015267176	0.8000954198473282
2004	2812.0	590.0	2222.0	0.20981507823613088	0.7901849217638691
2005	3887.0	756.0	3131.0	0.19449446874196039	0.8055055312580396
2006	3410.0	664.0	2746.0	0.19472140762463344	0.8052785923753666
2007	4007.0	759.0	3248.0	0.18941851759421013	0.8105814824057899
2008	5999.0	1180.0	4819.0	0.19669944990831806	0.803300550091682
2009	5584.0	992.0	4592.0	0.17765042979942694	0.8223495702005731
2010	7022.0	1327.0	5695.0	0.18897749928795216	0.8110225007120478
2011	6666.0	1291.0	5375.0	0.19366936693669368	0.8063306330633063
2012	6792.0	1250.0	5542.0	0.18404004711425206	0.815959952885748
2013	6452.0	1265.0	5187.0	0.19606323620582766	0.8039367637941723
2014	7147.0	1350.0	5797.0	0.1888904435427452	0.8111095564572548
2015	7254.0	1343.0	5911.0	0.1851392335263303	0.8148607664736697
2016	8252.0	1720.0	6532.0	0.2084343189529811	0.7915656810470189
2017	8840.0	1860.0	6980.0	0.21040723981900453	0.7895927601809954
2018	9838.0	2028.0	7810.0	0.20613945923968285	0.7938605407603171
2019	10883.0	1623.0	9260.0	0.1491316732518607	0.8508683267481393
2020	9340.0	1826.0	7514.0	0.1955032119914347	0.8044967880085653
2021	8128.0	1585.0	6543.0	0.1950049212598425	0.8049950787401575
2022	9100.0	1860.0	7240.0	0.2043956043956044	0.7956043956043956
2023	8939.0	1886.0	7053.0	0.21098556885557668	0.7890144311444233
2024	7540.0	1210.0	6330.0	0.16047745358090185	0.8395225464190982
2025	10609.0	1263.0	9346.0	0.11904986332359317	0.8809501366764069
2026	5563.0	542.0	5021.0	0.09742944454431063	0.9025705554556894
