year	total	v1abs	v2abs	v1rel	v2rel
1982	27.0	3.0	24.0	0.1111111111111111	0.8888888888888888
1983	36.0	3.0	33.0	0.08333333333333333	0.9166666666666666
1984	44.0	2.0	42.0	0.045454545454545456	0.9545454545454546
1985	61.0	6.0	55.0	0.09836065573770492	0.9016393442622951
1986	67.0	8.0	59.0	0.11940298507462686	0.8805970149253731
1987	49.0	2.0	47.0	0.04081632653061224	0.9591836734693877
1988	57.0	1.0	56.0	0.017543859649122806	0.9824561403508771
1989	88.0	7.0	81.0	0.07954545454545454	0.9204545454545454
1990	158.0	12.0	146.0	0.0759493670886076	0.9240506329113924
1991	150.0	2.0	148.0	0.013333333333333334	0.9866666666666667
1992	185.0	11.0	174.0	0.05945945945945946	0.9405405405405406
1993	231.0	8.0	223.0	0.03463203463203463	0.9653679653679653
1994	402.0	23.0	379.0	0.05721393034825871	0.9427860696517413
1995	689.0	34.0	655.0	0.04934687953555878	0.9506531204644412
1996	679.0	49.0	630.0	0.07216494845360824	0.9278350515463918
1997	720.0	42.0	678.0	0.058333333333333334	0.9416666666666667
1998	849.0	54.0	795.0	0.0636042402826855	0.9363957597173145
1999	1114.0	78.0	1036.0	0.07001795332136446	0.9299820466786356
2000	1339.0	89.0	1250.0	0.06646751306945482	0.9335324869305451
2001	1818.0	121.0	1697.0	0.06655665566556655	0.9334433443344334
2002	4189.0	198.0	3991.0	0.047266650751969445	0.9527333492480305
2003	3730.0	227.0	3503.0	0.060857908847184984	0.939142091152815
2004	4581.0	321.0	4260.0	0.07007203667321546	0.9299279633267845
2005	4858.0	296.0	4562.0	0.06093042404281598	0.939069575957184
2006	5475.0	424.0	5051.0	0.07744292237442922	0.9225570776255708
2007	5838.0	385.0	5453.0	0.06594724220623502	0.934052757793765
2008	7057.0	386.0	6671.0	0.05469746351140711	0.9453025364885929
2009	7987.0	383.0	7604.0	0.04795292350068862	0.9520470764993114
2010	12767.0	783.0	11984.0	0.06132999138403697	0.9386700086159631
2011	10079.0	538.0	9541.0	0.05337831134041075	0.9466216886595893
2012	9101.0	519.0	8582.0	0.057026700362597514	0.9429732996374025
2013	8880.0	519.0	8361.0	0.058445945945945946	0.941554054054054
2014	9121.0	542.0	8579.0	0.05942330884771407	0.9405766911522859
2015	8486.0	611.0	7875.0	0.07200094272920103	0.927999057270799
2016	9046.0	605.0	8441.0	0.06688038912226399	0.933119610877736
2017	8908.0	409.0	8499.0	0.045913785361472836	0.9540862146385272
2018	9424.0	466.0	8958.0	0.04944821731748727	0.9505517826825127
2019	8599.0	463.0	8136.0	0.05384347017095011	0.9461565298290499
2020	9634.0	610.0	9024.0	0.06331741747975919	0.9366825825202408
2021	8537.0	463.0	8074.0	0.05423450860958182	0.9457654913904182
2022	7785.0	385.0	7400.0	0.04945407835581246	0.9505459216441875
2023	7854.0	533.0	7321.0	0.06786350903997963	0.9321364909600204
2024	5747.0	269.0	5478.0	0.0468070297546546	0.9531929702453454
2025	6945.0	242.0	6703.0	0.03484521238300936	0.9651547876169907
2026	3802.0	133.0	3669.0	0.03498158863755918	0.9650184113624408
