year	total	v1abs	v2abs	v1rel	v2rel
1982	30.0	27.0	3.0	0.9	0.1
1983	41.0	39.0	2.0	0.9512195121951219	0.04878048780487805
1984	54.0	52.0	2.0	0.9629629629629629	0.037037037037037035
1985	54.0	51.0	3.0	0.9444444444444444	0.05555555555555555
1986	41.0	40.0	1.0	0.975609756097561	0.024390243902439025
1987	47.0	45.0	2.0	0.9574468085106383	0.0425531914893617
1988	40.0	38.0	2.0	0.95	0.05
1989	55.0	54.0	1.0	0.9818181818181818	0.01818181818181818
1990	66.0	62.0	4.0	0.9393939393939394	0.06060606060606061
1991	73.0	65.0	8.0	0.8904109589041096	0.1095890410958904
1992	95.0	91.0	4.0	0.9578947368421052	0.042105263157894736
1993	91.0	89.0	2.0	0.978021978021978	0.02197802197802198
1994	151.0	139.0	12.0	0.9205298013245033	0.07947019867549669
1995	248.0	228.0	20.0	0.9193548387096774	0.08064516129032258
1996	192.0	178.0	14.0	0.9270833333333334	0.07291666666666667
1997	272.0	259.0	13.0	0.9522058823529411	0.04779411764705882
1998	258.0	239.0	19.0	0.9263565891472868	0.07364341085271318
1999	355.0	330.0	25.0	0.9295774647887324	0.07042253521126761
2000	409.0	378.0	31.0	0.9242053789731052	0.07579462102689487
2001	657.0	574.0	83.0	0.8736681887366818	0.1263318112633181
2002	2827.0	2031.0	796.0	0.7184294304916873	0.2815705695083127
2003	3101.0	2660.0	441.0	0.8577878103837472	0.14221218961625282
2004	4855.0	3957.0	898.0	0.8150360453141091	0.18496395468589083
2005	5415.0	4472.0	943.0	0.825854108956602	0.17414589104339798
2006	5883.0	5024.0	859.0	0.8539860615332313	0.14601393846676866
2007	5562.0	4407.0	1155.0	0.7923408845738943	0.2076591154261057
2008	7130.0	5586.0	1544.0	0.7834502103786817	0.21654978962131838
2009	8170.0	6215.0	1955.0	0.7607099143206855	0.23929008567931456
2010	7457.0	5677.0	1780.0	0.7612981091591793	0.23870189084082072
2011	7006.0	5097.0	1909.0	0.7275192691978304	0.27248073080216956
2012	5624.0	4113.0	1511.0	0.7313300142247511	0.2686699857752489
2013	5767.0	4494.0	1273.0	0.7792613143748917	0.22073868562510837
2014	6595.0	4933.0	1662.0	0.7479909021986353	0.25200909780136466
2015	6868.0	5345.0	1523.0	0.778246942341293	0.22175305765870704
2016	8166.0	6621.0	1545.0	0.8108008817046289	0.18919911829537106
2017	9081.0	7002.0	2079.0	0.7710604558969276	0.22893954410307235
2018	8152.0	6074.0	2078.0	0.7450932286555446	0.25490677134445533
2019	8475.0	6374.0	2101.0	0.752094395280236	0.247905604719764
2020	10802.0	7835.0	2967.0	0.7253286428439178	0.2746713571560822
2021	11964.0	8418.0	3546.0	0.7036108324974925	0.29638916750250754
2022	10788.0	7830.0	2958.0	0.7258064516129032	0.27419354838709675
2023	10487.0	7568.0	2919.0	0.7216553828549633	0.2783446171450367
2024	8192.0	6030.0	2162.0	0.736083984375	0.263916015625
2025	8078.0	5790.0	2288.0	0.7167615746471899	0.2832384253528101
2026	4190.0	3252.0	938.0	0.7761336515513126	0.22386634844868736
