year	total	v1abs	v2abs	v1rel	v2rel
1981	32.0	0.0	32.0	0.0	1.0
1982	138.0	0.0	138.0	0.0	1.0
1983	128.0	0.0	128.0	0.0	1.0
1984	128.0	0.0	128.0	0.0	1.0
1985	183.0	1.0	182.0	0.00546448087431694	0.994535519125683
1986	189.0	0.0	189.0	0.0	1.0
1987	170.0	0.0	170.0	0.0	1.0
1988	200.0	1.0	199.0	0.005	0.995
1989	237.0	1.0	236.0	0.004219409282700422	0.9957805907172996
1990	425.0	1.0	424.0	0.002352941176470588	0.9976470588235294
1991	443.0	1.0	442.0	0.002257336343115124	0.9977426636568849
1992	601.0	1.0	600.0	0.0016638935108153079	0.9983361064891847
1993	731.0	1.0	730.0	0.0013679890560875513	0.9986320109439124
1994	1198.0	0.0	1198.0	0.0	1.0
1995	2381.0	2.0	2379.0	0.0008399832003359933	0.999160016799664
1996	2558.0	1.0	2557.0	0.00039093041438623924	0.9996090695856138
1997	2792.0	2.0	2790.0	0.0007163323782234957	0.9992836676217765
1998	3168.0	4.0	3164.0	0.0012626262626262627	0.9987373737373737
1999	4183.0	5.0	4178.0	0.0011953143676786994	0.9988046856323213
2000	5133.0	7.0	5126.0	0.0013637249172024158	0.9986362750827976
2001	7200.0	7.0	7193.0	0.0009722222222222222	0.9990277777777777
2002	17010.0	15.0	16995.0	0.0008818342151675485	0.9991181657848325
2003	17787.0	18.0	17769.0	0.0010119750379490638	0.998988024962051
2004	22182.0	17.0	22165.0	0.0007663871607609773	0.9992336128392391
2005	25115.0	34.0	25081.0	0.0013537726458291858	0.9986462273541709
2006	27158.0	63.0	27095.0	0.0023197584505486413	0.9976802415494513
2007	34798.0	20.0	34778.0	0.0005747456750387954	0.9994252543249612
2008	46364.0	41.0	46323.0	0.0008843067897506686	0.9991156932102493
2009	53262.0	34.0	53228.0	0.0006383537982050993	0.9993616462017949
2010	83107.0	127.0	82980.0	0.0015281504566402348	0.9984718495433598
2011	68657.0	74.0	68583.0	0.0010778216350845508	0.9989221783649155
2012	62584.0	44.0	62540.0	0.0007030550939537262	0.9992969449060463
2013	71797.0	60.0	71737.0	0.0008356895134894216	0.9991643104865106
2014	84955.0	146.0	84809.0	0.0017185568830557353	0.9982814431169442
2015	91019.0	70.0	90949.0	0.0007690701941352905	0.9992309298058647
2016	109734.0	55.0	109679.0	0.0005012120217981665	0.9994987879782018
2017	120587.0	78.0	120509.0	0.0006468358944164794	0.9993531641055835
2018	135062.0	123.0	134939.0	0.0009106928669796094	0.9990893071330204
2019	149994.0	99.0	149895.0	0.0006600264010560422	0.999339973598944
2020	160268.0	167.0	160101.0	0.0010420046422242744	0.9989579953577757
2021	166004.0	109.0	165895.0	0.0006566106840799017	0.9993433893159201
2022	174060.0	108.0	173952.0	0.0006204756980351603	0.9993795243019649
2023	173112.0	132.0	172980.0	0.0007625121308748094	0.9992374878691251
2024	141392.0	79.0	141313.0	0.0005587303383501188	0.9994412696616499
2025	144920.0	64.0	144856.0	0.0004416229643941485	0.9995583770356059
2026	79178.0	37.0	79141.0	0.0004673015231503701	0.9995326984768497
