variable	fold1	fold2	fold3	fold4	mean
fortsätta	0.0037134318653673226	0.00497876754377341	0.014731947485876085	0.01904398799953927	0.010617033723639022
försöka	0.0384678875640589	0.02359720420817983	0.002264304166001957	0.021875631975698417	0.021551256978484777
glömma	0.050797802770250866	0.019453910300426813	0.026403640103754816	0.056203148172839446	0.038214625336817985
komma	0.09848677470550687	0.049478523781502304	0.027668805629789184	0.08152366058750721	0.06428944117607639
planera	0.00042593958762685014	0.007915617383321194	0.015283598153979214	0.01761789471916228	0.010310762461022385
riskera	0.1538880705576037	0.08986314515471577	0.01812980040748738	0.09809546908753705	0.08999412130183598
slippa	0.00483809805730652	0.008934192368187946	0.011647972948410378	0.011170252744492203	0.009147629029599261
sluta	0.0316027527586078	0.022165426002997285	0.0036987413163560162	0.01148617817688849	0.017238274563712398
vägra	0.07622963507807431	0.03628341271194066	0.025442705390786163	0.06779797382828781	0.05143843175227224
mean	0.050938932549378126	0.029185577717227247	0.01614127951138235	0.042757133032439124	0.034755730702606714
