yob_start	yob_end	ntokens	nauthors
1960	1961	1522305.0	17.0
1962	1963	638705.0	16.0
1964	1965	1592168.0	25.0
1966	1967	2085354.0	47.0
1968	1969	2019039.0	65.0
1971	1972	6715713.0	159.0
1973	1974	12894683.0	226.0
1975	1976	13410989.0	305.0
1977	1978	14181095.0	397.0
1979	1980	18704572.0	504.0
1981	1982	19307754.0	565.0
1983	1984	20171617.0	591.0
1985	1986	18330501.0	593.0
1987	1988	14473295.0	445.0
1989	1990	7866776.0	272.0
1991	1992	975915.0	74.0
