variablevariable	cohort1	cohort2	cohort3	cohort4	mean
fortsätta	0.1194368246299658	0.05702667133441508	0.039508288998269636	0.10581141614629541	0.08044580027723648
försöka	0.02680869350219639	0.016477478292743486	0.0015133636316246868	0.01516993765466168	0.01499236827030656
glömma	0.04409173311311665	0.016191317150216045	0.02430673684500373	0.05040372620906186	0.03374837832934957
komma	0.019952525325147963	0.015697845358467022	0.005742443870314751	0.003276744813873078	0.011167389841950703
planera	0.00047204903877420823	0.003959352459896287	0.008525625112501753	0.010182587150639882	0.005784903440453033
riskera	0.09921439476481962	0.06032530824785397	0.006910748201916853	0.05766973695131251	0.05603004704147574
slippa	0.0003183508258466361	0.003652565543230235	0.00689582288180024	0.007885951282510684	0.004688172633346949
sluta	0.011049795459844636	0.008734550750348236	0.0032622216237534474	0.00171897250220987	0.006191385084039047
vägra	0.14526924446297773	0.07408152338014529	0.03861169612068116	0.11768160103894942	0.0939110162506884
mean	0.05184595679140996	0.028460734724146182	0.015030771920651807	0.04108896374994605	0.034106606796538506
