variable	1	2	3	4
fortsätta	8	26	60	26
försöka	8	26	60	26
glömma	8	26	60	26
komma	8	26	60	26
planera	8	26	60	26
riskera	8	26	60	26
slippa	8	26	60	26
sluta	8	26	60	26
vägra	8	26	60	26
