variable	diffmean21	diffmean32	diffmean43	rel_diffmean21	rel_diffmean32	rel_diffmean43
behaga	0.0	0.0	0.0	NaN	NaN	NaN
fortsätta	0.2894736842105263	0.25	0.1160714285714286	0.44157706093189963	0.38136200716845875	0.17706093189964162
försöka	0.0	0.0	0.0	NaN	NaN	NaN
glömma	0.0	0.0	0.0	NaN	NaN	NaN
komma	0.10535714285714282	0.30714285714285716	0.2313008130081301	0.1636486638854436	0.4770774608185816	0.35927387529597477
lova	0.0	0.0	0.0	NaN	NaN	NaN
null device 
          1 
