variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	cohort9	cohort10	cohort11	cohort12	cohort13	cohort14	cohort15	cohort16	mean
fortsätta	0.1600382564301347	0.1577648693896203	0.1689414090087682	0.3052525441607386	0.16490417021405365	0.18040030044657993	0.09518931333541539	0.057130480879180684	0.01808494749996802	0.11601237369620908	0.07665981498151428	0.09886382074175931	0.129495123862379	0.1590986165234759	0.1286572859012222	0.2812585606488122	0.14360949298248946
försöka	0.03376385522466362	0.24531567999182632	0.14363246889681872	0.0032843457387607676	0.08006994976884912	0.036806061007283564	0.044531107814865856	0.01752555388858365	0.03860862147578141	0.012721818119191272	0.02110109614329107	0.02539510690080485	0.0027700431932001475	0.028952402178515316	0.058433330004166326	0.12407086816909672	0.05731139428223117
glömma	0.03313886385613202	0.41675989113130035	0.2019617628830738	0.00893154956706961	0.1647063898504107	0.031231285115554216	0.029166948090121655	0.015587458541258543	0.1044615199300654	0.0053267642911330685	0.02434451292490073	0.025564162193592425	0.08139988381921162	0.03345291808004656	0.11314929216520395	0.07898890111319358	0.08551075647201675
komma	0.09030833444703343	0.10644939828357039	0.06109028771416084	0.12637526580065986	0.12001636939825105	0.01363549442186471	0.0030555247375041025	0.10720692571506898	0.059706155525182554	0.06096109963522115	0.0031169309384533428	0.03942558802847285	0.05867761417619433	0.13165505663726376	0.10990530505051381	0.20631004481856818	0.08111846220799897
planera	0.06880013128986513	0.2104524876979397	0.1420078357864753	0.13639648207865537	0.038823662973246104	0.10741496968175929	0.10150520471776645	0.11611228635186022	0.13935872850673198	0.007258948609498212	0.010283088235791823	0.0057562668828018485	0.00824655067976551	0.0782175439249218	0.03760529648914529	0.1627346124347065	0.08568588102130817
riskera	0.02343076721015863	0.4229598944389316	0.037241448097047006	0.3527482479706831	0.727063520004182	0.01769977946490061	0.24926955269095152	0.1499310287473801	0.09169542517110991	0.045280656555916884	0.04842853273930661	0.06203499877070253	0.009882532202735255	0.04331520809493156	0.03166404711031858	0.13476952099258988	0.15296344751636537
slippa	0.09554481614999549	0.014151416314351736	0.03115153513590831	0.015483787303605128	0.06037168884888658	0.016639998326075503	0.00316537934826679	0.014066348141337717	0.009395710843240038	0.014850788023896912	0.0317517486780208	0.040228956176463285	0.018045410552900553	0.00455879739202851	0.03253380593435457	0.12990127183613534	0.0332400911878417
sluta	0.021127559886807635	0.04022809814851937	0.06911157522152823	0.02246956357915122	0.11066636092370051	0.0006850613999821644	0.00992291798523316	0.0066036910836707215	0.012914020501917476	0.053095030192307026	0.01293838335406238	0.014552662934084427	0.015552167981655032	0.030497576841370107	0.03170394254184318	0.01903521549892628	0.02944398925467243
vägra	0.22191467140665228	0.4717601634309923	0.18252525415003715	0.002430806872332533	0.23998309465549633	0.17014957943167688	0.17821877505633216	0.050596455338426403	0.055610060562200025	0.0040449715859028615	0.00016435630956294851	0.10048516748677737	0.0946154229429318	0.16650771101470366	0.1609073131134778	0.02702495052357724	0.1329336721175675
mean	0.08311858398904921	0.2317602109807836	0.11529595298820193	0.10815251034129514	0.18962280073745288	0.0638513921439641	0.07933608041960633	0.05941780318741855	0.05887057666846632	0.03550582785658627	0.025420940478322666	0.045811858901717656	0.04652052771233036	0.07513953674302858	0.07828440203447175	0.12934377178173398	0.08909079856027682
