yob_start	yob_end	ntokens	nauthors
1960	1963	2161010.0	33.0
1964	1967	3677522.0	72.0
1968	1972	8734752.0	224.0
1973	1976	26305672.0	531.0
1977	1980	32885667.0	901.0
1981	1984	39479371.0	1156.0
1985	1988	32803796.0	1038.0
1989	1992	8842691.0	346.0
