Verb	Speakers 	Prolific_speakers	Freq	Trend	Class
försöka	3246	832	30164	up	initiative
fortsätta	1512	74	4443	up	aspectual
komma	3743	1919	86311	up	temporal
slippa	2112	196	8760	unclear	deontic
sluta	1908	116	6460	up	aspectual
vägra	1756	145	6864	up	intensional
glömma	1591	47	4026	unclear	initiative
behaga	400	3	657	unclear	intentional
lova	556	4	939	unclear	intentional
planera	847	12	1603	unclear	intensional
riskera	422	10	1023	up	intensional
