variable	1	2	3	4	5	6	7	8
fortsätta	51	128	230	845	918	1066	860	275
försöka	408	681	1487	5212	6468	7929	6112	1599
glömma	39	96	261	619	883	1028	820	240
komma	910	2174	4388	12739	18451	22088	19649	5279
planera	11	28	66	241	336	370	402	112
riskera	30	40	63	329	170	198	108	46
slippa	103	169	371	1428	1750	2397	1917	559
sluta	96	174	315	987	1397	1721	1384	355
vägra	92	151	350	1065	1471	1886	1384	375
