speaker	yob	cohort10	cohort5	försöka	fortsätta	komma	slippa	sluta	vägra	coherence
JAG är BÄST	1973	3	6	-0.0066581433	0.2238588548	-0.4004350225	-0.044233103	0.0652174098	0.1180436882	1
Jennie med ie	1976	3	6	0.028695392	0.3035689997	-0.5552265809	0.0224335637	0.0096618542	0.0937029175	0.6500224216
modestyclara	1979	3	7	0.0118603752	-0.147936017	0.1289211523	0.0224335637	0.0652174098	0.1525264469	0.6500224216
lokisse	1961	1	3	0.0088974122	-0.3989481627	-0.3716041957	0.0224335637	0.0339674098	-0.5218921578	1
Lavish	1986	4	8	0.0234736834	-0.6094744785	0.0623220011	0.0224335637	0.0652174098	-0.0239441414	0.9182958341
Beckah82	1983	4	8	0.0419044052	-0.2380459071	0.1320581691	-0.0929510517	0.0652174098	0.1108597802	0.9182958341
Dorian Ertymexx	1973	3	6	0.0426862321	-0.2285220976	0.0864905711	0.0045764208	0.0063938804	-0.1429280986	0.9182958341
Pallas	1974	3	6	0.0232563866	0.3905255215	0.2740213009	0.0224335637	0.041407886	0.1525264469	-0
idiblon	1982	3	7	0.0488974122	0.3905255215	-0.2749380875	0.0224335637	0.0652174098	0.1525264469	0.6500224216
guldplutt	1971	2	5	0.0034428668	-0.4515797417	-0.5815917661	-0.0489950077	0.0652174098	-0.0558068865	0.9182958341
abuelita	1951	1	1	0.0488974122	-0.2235095663	0.0014961082	0.0224335637	0.0652174098	0.0959226733	0.6500224216
allakantralla	1976	3	6	0.0488974122	0.2087073396	0.1820244839	0.0224335637	-0.0217391119	0.0525264469	0.6500224216
Emmel	1973	3	6	0.0365517332	-0.1928078119	0.1071192085	0.0224335637	-0.1347825902	0.009669304	0.9182958341
saltflingan	1990	4	9	0.005793964	-0.0480709698	0.2101427248	0.0035656392	0.0152174098	-0.1518213792	0.9182958341
mamita64	1965	2	4	0.0253680005	0.0016366326	-0.4156467489	-0.0301980152	0.0652174098	-0.001319707	1
hejsvej	1983	4	8	0.0018385887	0.1238588548	0.0610199177	0.0224335637	0.0080745527	-0.1632630268	0.6500224216
Miss Cee	1981	3	7	-0.0609926977	-0.3153568315	-0.5191602624	0.0224335637	-0.2347825902	-0.0515551858	0.6500224216
BrödernaBus	1980	3	7	0.0256415983	0.3349699659	0.0041093486	0.0224335637	0.0652174098	0.1525264469	-0
Gladabarnensmamma	1983	4	8	0.0488974122	-0.2936850048	0.3387976955	0.0224335637	-0.0014492569	0.1108597802	0.9182958341
Ett två tre	1986	4	8	0.0488974122	-0.1094744785	0.3847838731	0.0224335637	0.0652174098	0.1525264469	0.6500224216
AmandaBrun	1985	4	8	0.0488974122	0.2996164306	0.2893112343	0.0224335637	0.0652174098	0.034879388	-0
mandelblomma	1990	4	9	0.028489249	0.3905255215	0.2434656771	0.0224335637	-0.0256916811	-0.0827676708	0.9182958341
Joje	1975	3	6	0.0385881339	-0.2301641337	0.2769619467	0.0224335637	0.0652174098	-0.3474735531	0.9182958341
Amulett	1976	3	6	-0.0761025878	-0.0710129401	-0.3928807915	0.0224335637	0.0063938804	-0.2474735531	0.9182958341
kicki08	1978	3	7	0.0109227287	0.2238588548	0.3289779484	0.0224335637	-0.0458937013	0.1525264469	0.6500224216
NadiaMi	1975	3	6	0.0439954514	0.1710133263	-0.5923617248	0.0224335637	0.0419615958	0.1391931135	0.6500224216
				23	12	17	22	20	15	
				3	14	9	4	6	11	
						 				
				properties of speaker selection?						
				try with smaller amount of variables? how to choose?						
				look at subsets of variables within this table?						
