variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	cohort9	cohort10	cohort11	cohort12	cohort13	cohort14	cohort15	cohort16	mean
fortsätta	0.059587110203340954	0.1812722611221742	0.018783239713606847	0.2007059972837304	0.11919668238636877	0.026891253123075276	0.006708443121717034	0.0003437688024260366	0.001933315937180602	0.051237706490020796	0.046283145377138624	0.012011693017236036	0.011816660521856925	0.011903334492033846	0.016844554600289885	0.1769889011412008	0.05890675420833731
försöka	0.09323376170026532	0.0035672723556505748	0.14976825112722925	0.06932177706754805	0.09614588692898851	0.069543562920932	0.0618979001729536	0.03919840422779808	0.004165534870912979	0.016442686903629822	0.008043805307921592	0.0006465357359395352	0.024921371690449612	0.047643058063376875	0.023396113425682152	0.09274824274824278	0.050042760327970046
glömma	0.0704668732055097	0.2356352914123402	0.019150517585768023	0.04504184242449483	0.020721951558400398	0.04865776306925351	0.015607877349835486	0.013071097193760983	0.03351066402987457	0.00032704447347120524	0.0036462819587731454	0.026036342853546945	0.010168249760904358	0.018221833945305743	0.004826597497825991	0.07074795820629587	0.03973988665783506
komma	0.005486484492500054	0.015075535332801315	0.00038809443126991416	0.0774787214510766	0.07180622409643511	0.022353473018985104	0.014287682588812911	0.056677129152256644	0.032550803314000065	0.023795434094863288	0.000529398621498367	0.0215280024004314	0.03375802402404815	0.06928307603865203	0.06423593859355792	0.07646021366810407	0.036605889707455805
planera	0.04090127243075806	0.08864404797428758	0.05171370248767668	0.05774804151474695	0.0006356154345008302	0.050958830430121414	0.050525571250166774	0.04720630901777066	0.06475925971710275	0.0063842505218145995	0.005952341734528507	0.0028310624073259044	0.0034873335592979643	0.032924256211314486	0.01673438203354647	0.07018125026461267	0.03697422043684827
riskera	0.0830550371906433	0.11890099881422216	0.0374685277575018	0.10308429413953672	0.3403388398417168	0.04156950239016466	0.13099751266987866	0.04956972413088747	0.047719127777121575	0.01990681618623659	0.027884407618515447	0.04278580188483499	0.029325468290958306	0.05108639772053119	0.03049686484245033	0.09536314563635317	0.07809702918072209
slippa	0.03237603597271865	0.042380539603014133	0.07260679299382511	0.05797546254405517	0.06050688598236542	0.023870184918855175	0.023907952271936872	0.009911116110273954	0.00476675572860219	0.006001966514014523	0.005469373041028347	0.0025807151050717403	0.017540683697462645	0.029466952798097523	0.02952331645957973	0.08695652173913049	0.03161507846750198
sluta	0.04969503912786433	0.0072834457987597245	0.07576316787315263	0.03832604014254937	0.009017009172442303	0.028656805204895774	0.028799682675801908	0.016323892448188992	0.019320819014902346	0.03257712167852356	0.0005604956855279619	0.004434727418802131	0.00017645619394912604	0.02652854813060923	0.004365401124730162	0.01658468157301274	0.022400833328982017
vägra	0.15464202606837596	0.25993482987517535	0.01464135673359701	0.06163492498925616	0.049902195668266036	0.02743228036432932	0.038207983679595436	0.009801849984125477	0.0015634784819199554	0.015565964104278351	0.011919602854990718	0.03389144858087434	0.03895638958635439	0.0625376014897644	0.048252444665928707	0.03304225282178974	0.053870414371788834
mean	0.06549373782133071	0.1058549135876028	0.04892040563373636	0.0790352335063327	0.08536347678549824	0.03777040616006803	0.04121562286452207	0.02690036567416537	0.023365528763513006	0.01913766566298364	0.012254316911102523	0.016305147711562558	0.01890562636947572	0.03884389543218726	0.02651951258262126	0.07989701864430471	0.04536142963193794
