speaker	yob	cohort10	cohort5	försöka	komma	slippa	vägra	coherence
JAG är BÄST	1973	3	6	-0.006658143322222254	-0.40043502254896857	-0.044233102966666715	0.118043688245977	0.5
Jennie med ie	1976	3	6	0.028695392031313105	-0.5552265808661064	0.022433563699999937	0.09370291745490189	0.5
hymafr	1965	2	4	0.00011692442845523399	-0.39476239519183676	-0.04006643630000006	-0.18080688646666676	0.5
Baronessan	1975	3	6	0.014414653612643713	0.3276865844	0.022433563699999937	0.09002644686666661	1.0
gosmamman	1983	4	8	0.023256386592307665	0.2554643621777778	0.022433563699999937	-0.39292809858787886	0.5
Astarte	1980	3	7	0.048897412233333326	-0.05009119337777779	0.022433563699999937	0.06919311353333324	0.5
fruganL	1990	4	9	0.036992650328571464	0.3693532510666666	0.022433563699999937	0.06161735595757567	1.0
modestyclara	1979	3	7	0.011860375196296236	0.12892115230123458	0.022433563699999937	0.1525264468666666	1.0
Pyris	1978	3	7	0.048897412233333326	0.12242342650526317	0.022433563699999937	-0.0053682899754387	0.5
lokisse	1961	1	3	0.00889741223333329	-0.371604195741844	0.022433563699999937	-0.5218921577844962	0.0
Lavish	1986	4	8	0.02347368341977396	0.06232200106666663	0.022433563699999937	-0.023944141368627547	0.5
AW76	1977	3	6	-0.0037341667140351475	0.1562580129714285	-0.068475527209091	-0.23208893774871797	0.5
Beckah82	1983	4	8	0.04190440524032635	0.13205816909945356	-0.09295105168461548	0.11085978019999998	0.5
Fraggelgirl	1981	3	7	0.006344220743971674	0.21510796804779875	0.022433563699999937	0.07560336994358974	1.0
IsaCMoJs	1983	4	8	-0.28443592110000004	-0.5923134156000001	0.022433563699999937	-0.10834311835072474	0.5
Dorian Ertymexx	1973	3	6	0.04268623210910971	0.08649057111096337	0.004576420842857032	-0.1429280985878788	0.5
delifi2	1975	3	6	0.048897412233333326	0.3176409222995433	0.022433563699999937	0.06161735595757567	1.0
Jungblom	1986	4	8	-0.011708648372727226	0.22958052379393934	-0.014603473337037154	-0.029291734951515158	0.5
Pallas	1974	3	6	0.023256386592307665	0.27402130085919774	0.022433563699999937	0.1525264468666666	1.0
idiblon	1982	3	7	0.048897412233333326	-0.2749380875160105	0.022433563699999937	0.1525264468666666	0.5
mithrandil	1983	4	8	0.003852367188288297	0.3076323838579945	0.008544674811111097	0.09798099232121205	1.0
guldplutt	1971	2	5	0.003442866778787912	-0.5815917661154639	-0.04899500772857146	-0.05580688646666676	0.5
