variablevariable	cohort1	cohort2	cohort3	cohort4	mean
fortsätta	0.29263213589191583	0.048835702159310546	0.0865835044704445	0.01188451202609031	0.1099839636369403
försöka	0.12686958645149082	0.1266925076820371	0.05188310029775134	0.0325699083611376	0.08450377569810422
glömma	0.20379923840726388	0.14852597058969874	0.09589693840979008	0.03493193420969887	0.12078852040411289
komma	0.6789023481517862	0.27657231631975876	0.16266579210602194	0.0050006030682172575	0.280785264911446
planera	0.08333333333333333	0.08481795981795982	0.08638888888888889	0.060491787349527495	0.07875799234742738
riskera	0.13706863439692857	0.006832417907691832	0.04716879236878823	0.09231520721684805	0.07084626297256418
slippa	0.12308261055330749	0.11031823578209721	0.054513988237461564	0.010663266756188006	0.07464452533226357
sluta	0.1015150284180456	0.04095867253582419	0.04986711293400048	0.012835389070331549	0.051294050739550456
vägra	0.08030509490765314	0.026489343452244407	0.023748207033295277	0.0632406857695551	0.04844583279068698
mean	0.20305644561241387	0.09667145847184695	0.0731907027496047	0.03599258820306603	0.10222779875923288
