variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	mean
fortsätta	0.2639102761746191	0.10719984739192429	0.08037367092795267	0.16000397654632248	0.1821435167373494	0.038690415199291506	0.21204707478546192	0.05659873389526726	0.13762093895727356
försöka	0.031160146397119726	0.07205447622122729	0.005755949153406825	0.04017613995414182	0.02548962514440034	0.005811344936312746	0.007308456291165721	0.030267988804425938	0.02725301586277505
glömma	0.07962365015936412	0.08141080641696952	0.0012399062108933157	0.008606991508165018	0.039748022559717655	0.06938277297871887	0.060670676903111675	0.08121346519574235	0.052737036491585315
komma	0.1018468937135984	0.05575685394645444	0.03210550596215744	0.18143459747780022	0.05322342923526063	0.01645755528016879	0.008017761468725126	0.14631791878987677	0.07439506448425523
planera	0.2276944551649183	0.11223086087347105	0.12341826081610284	0.01327073527480363	0.007003448004065521	0.0032580805014614106	0.004947999715656987	0.057182025616503956	0.06862573324587297
riskera	0.4701935317536825	0.18014668958370395	0.19590404616148327	0.05767589342751589	0.038688238715275436	0.012357573141325663	0.012071587298076447	0.11904761904761904	0.13576064739108526
slippa	0.03178136393754616	0.0526234979267558	0.007155058718478324	0.01662032338366981	0.003609932786659664	0.020683529469188278	0.016822771504292344	0.003911948901562545	0.019151053328519116
sluta	0.09401234151785287	0.02634684511249874	0.1570742458548301	0.021690828119600658	0.01472654872836654	0.039921839377550006	0.04535431882653784	0.0403652795757623	0.05493653088912488
vägra	0.27592289684353577	0.11921151891588999	0.010442442047120748	0.12793292105186682	0.09446201530883147	0.022946487928614534	0.10815458087793717	0.08677266928848792	0.10573069153278555
mean	0.1751272839624708	0.0896645995987661	0.06816323176138062	0.06971248963820958	0.05101053080221408	0.02550106653473687	0.05282169196344058	0.06907529434613868	0.07513452357591967
