variable	fold1	fold2	fold3	fold4	mean
fortsätta	0.14345666911392313	0.1792494223255353	0.172826791877107	0.20093821168881876	0.17411777375134604
försöka	0.10180419031859543	0.13253307954676982	0.12385226515568115	0.1099143114492357	0.11702596161757052
glömma	0.2091725852148632	0.11335312166889852	0.07961789028761498	0.11915052131176233	0.13032352962078475
komma	0.05199811342611077	0.08583385282010819	0.06644744350278375	0.041511018678039024	0.061447607106760435
planera	0.09114133821983894	0.040135625399642216	0.017139757608455264	0.05537876185690824	0.050948870771211165
riskera	0.15191156631069194	0.015431646705089341	0.057811095252981365	0.15657514742919784	0.09543236392449012
slippa	0.07164560269445408	0.09165283158481662	0.08524614757734547	0.014016253256685068	0.06564020877832531
sluta	0.07916981590569414	0.0648366383815843	0.08417882074636537	0.05689650667287775	0.07127044542663039
vägra	0.07586037333295281	0.023460041640489537	0.02622885345339368	0.08157105849212432	0.051780081729740086
mean	0.10846225050412495	0.08294291778588155	0.07926100727352535	0.09288353231507213	0.09088742696965098
