variable	1	2	3	4	5	6	7	8
fortsätta	2	6	5	21	32	28	19	7
försöka	2	6	5	21	32	28	19	7
glömma	2	6	5	21	32	28	19	7
komma	2	6	5	21	32	28	19	7
planera	2	6	5	21	32	28	19	7
riskera	2	6	5	21	32	28	19	7
slippa	2	6	5	21	32	28	19	7
sluta	2	6	5	21	32	28	19	7
vägra	2	6	5	21	32	28	19	7
