variable	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
fortsätta	15	25	1	10	13	32	12	71	29	31	75	95	186	182	276	201	142	232	251	293	289	240	291	246	260	227	208	165	112	136	25	2
försöka	69	231	18	90	137	188	160	196	156	157	590	584	1527	1052	1366	1267	1149	1797	1609	1913	2201	1666	2037	2025	1765	1666	1623	1058	815	604	170	10
glömma	16	9	2	12	8	16	19	53	34	25	112	90	168	143	142	166	151	213	252	267	276	215	253	284	232	221	222	145	122	87	24	7
komma	234	454	42	180	393	334	593	854	465	463	1914	1546	3331	2274	3771	3363	2955	5208	4737	5551	6055	4790	5847	5396	5901	5180	4969	3599	2302	2399	512	66
planera	4	5	0	2	7	8	8	5	7	3	30	26	55	41	87	58	77	60	97	102	96	88	72	114	153	95	83	71	46	52	12	2
riskera	4	11	1	14	13	16	4	7	8	7	25	23	85	72	127	45	36	35	44	55	65	32	50	51	24	25	40	19	12	31	3	0
slippa	35	42	10	16	33	42	32	62	40	48	126	157	303	261	538	326	230	494	464	562	604	542	701	550	555	568	476	318	318	194	40	7
sluta	11	49	5	31	16	35	33	90	30	51	120	114	272	225	270	220	226	410	343	418	427	395	496	403	377	415	320	272	162	149	40	4
vägra	18	56	4	14	26	58	26	41	42	47	127	134	307	223	327	208	205	497	358	411	437	412	580	457	389	399	362	234	215	125	30	5
