variable	1	2	3	4
behaga	24	119	350	162
fortsätta	179	1075	1984	1135
försöka	1089	6699	14397	7711
glömma	135	880	1911	1060
komma	3084	17127	40539	24928
lova	27	244	447	202
planera	39	307	706	514
riskera	70	392	368	154
slippa	272	1799	4147	2476
sluta	270	1302	3118	1739
vägra	243	1415	3357	1759
