variable	variable	#cohort1	#cohort2	#cohort3	#cohort4	#cohort5	#cohort6	#cohort7	#cohort8	mean
fortsätta	0.14287737567703446	0.013793072383247007	0.027278645952158342	0.021214004780187756	0.05129077469815689
försöka	0.10701322650611311	0.0751803518174814	0.01329575401048666	0.043724299372259634	0.0598034079265852
glömma	0.11031980795125473	0.04130339946318762	0.008832360872145006	0.021151493766905616	0.04540176551337324
komma	0.4223589996792028	0.24589576624339443	0.03745008099896707	0.15295071452025422	0.21466389036045463
planera	0.05576755705596627	0.03375542671012438	0.02311271267525626	0.005292199384234211	0.02948197395639528
riskera	0.05345324777705412	0.0809840724978322	0.0008673290164898512	0.06746698332539106	0.0506929081541918
slippa	0.07383510242520053	0.03351471795275929	0.0032305065058543248	0.03486034436209984	0.036360167811478494
sluta	0.0569353748162279	0.030651949534931333	0.022195389078702665	0.0035732245746388225	0.02833898450112518
vägra	0.11338682988593773	0.005088405105560079	0.0032969213104375727	0.03599835099922122	0.03944262682528915
mean	0.1262163913082213	0.06224079574539085	0.015506633380055306	0.0429146238983547	0.061719611083005534
