yob_start	yob_end	ntokens	nauthors
1960	1966	4522679.0	79.0
1967	1974	22945288.0	476.0
1975	1981	56688233.0	1493.0
1982	1988	61891590.0	1907.0
1989	1992	8842691.0	346.0
