variable	community	freq	trend	sclass	cohort	value	value2
försöka	0.9511025877666667	30164.0	up	initiative	8	0.94037883383196	0.09217780757728908
försöka	0.9511025877666667	30164.0	up	initiative	9	0.9192902783313754	0.12301437897165575
försöka	0.9511025877666667	30164.0	up	initiative	10	0.942415928999152	0.08941921121286789
försöka	0.9511025877666667	30164.0	up	initiative	11	0.9477591361971145	0.08565445203127332
försöka	0.9511025877666667	30164.0	up	initiative	12	0.9513207858130159	0.07727025611725442
försöka	0.9511025877666667	30164.0	up	initiative	13	0.9422136659759454	0.09168414999834515
försöka	0.9511025877666667	30164.0	up	initiative	14	0.9345085804962872	0.10219183127279194
försöka	0.9511025877666667	30164.0	up	initiative	15	0.968216933765896	0.053608507092518874
försöka	0.9511025877666667	30164.0	up	initiative	16	0.9072517572517572	0.1340180394234448
glömma	0.8589009020666666	4026.0	unclear	initiative	1	0.7477678571428572	0.34263392857142855
glömma	0.8589009020666666	4026.0	unclear	initiative	2	0.6	0.48
glömma	0.8589009020666666	4026.0	unclear	initiative	3	0.8367346938775511	0.239067055393586
glömma	0.8589009020666666	4026.0	unclear	initiative	4	0.7773035787741671	0.2943414716771118
glömma	0.8589009020666666	4026.0	unclear	initiative	5	0.8515625	0.23193359375
glömma	0.8589009020666666	4026.0	unclear	initiative	6	0.786130007558579	0.28604062436261973
glömma	0.8589009020666666	4026.0	unclear	initiative	7	0.8231253908465553	0.25723610850245887
glömma	0.8589009020666666	4026.0	unclear	initiative	8	0.8300545133878467	0.2471613336692702
glömma	0.8589009020666666	4026.0	unclear	initiative	9	0.8790920860069795	0.19036565181879778
glömma	0.8589009020666666	4026.0	unclear	initiative	10	0.8507058052640761	0.22787038274369437
glömma	0.8589009020666666	4026.0	unclear	initiative	11	0.8511365404747758	0.22804364739557906
glömma	0.8589009020666666	4026.0	unclear	initiative	12	0.883545244878578	0.1908196144047998
glömma	0.8589009020666666	4026.0	unclear	initiative	13	0.8544502760920673	0.2246032426027974
glömma	0.8589009020666666	4026.0	unclear	initiative	14	0.8858294745087198	0.18429024794279295
glömma	0.8589009020666666	4026.0	unclear	initiative	15	0.8703065134099617	0.21168362179063732
glömma	0.8589009020666666	4026.0	unclear	initiative	16	0.95	0.09500000000000004
komma	0.6056467489333334	86311.0	up	other	1	0.3098441393352533	0.29687067017916396
komma	0.6056467489333334	86311.0	up	other	2	0.3480259870064968	0.36798267532900214
komma	0.6056467489333334	86311.0	up	other	3	0.36353837415617507	0.3095111768019505
komma	0.6056467489333334	86311.0	up	other	4	0.32276651365803494	0.2979247074301106
komma	0.6056467489333334	86311.0	up	other	5	0.35475703300993555	0.31959782888289207
komma	0.6056467489333334	86311.0	up	other	6	0.42757981792801597	0.37411404666039294
komma	0.6056467489333334	86311.0	up	other	7	0.4626160477911523	0.3707764543675329
komma	0.6056467489333334	86311.0	up	other	8	0.45050315407550356	0.3575745294487414
komma	0.6056467489333334	86311.0	up	other	9	0.500838885529468	0.35089966283726354
komma	0.6056467489333334	86311.0	up	other	10	0.5811423118650645	0.34056958895290174
komma	0.6056467489333334	86311.0	up	other	11	0.5857187744644922	0.33435275857679403
komma	0.6056467489333334	86311.0	up	other	12	0.6333772344324647	0.31878098177475894
komma	0.6056467489333334	86311.0	up	other	13	0.6711764377418108	0.3120702011859343
komma	0.6056467489333334	86311.0	up	other	14	0.728413079689796	0.25916016720404583
komma	0.6056467489333334	86311.0	up	other	15	0.7493744058051586	0.2509983230097872
komma	0.6056467489333334	86311.0	up	other	16	0.6708577042882871	0.3075041030283999
planera	0.0661176389	1603.0	unclear	intensional	1	0.1	0.16
planera	0.0661176389	1603.0	unclear	intensional	2	0.0	0.0
planera	0.0661176389	1603.0	unclear	intensional	3	0.020833333333333332	0.03645833333333333
planera	0.0661176389	1603.0	unclear	intensional	4	0.125	0.21875
planera	0.0661176389	1603.0	unclear	intensional	5	0.05555555555555555	0.0925925925925926
planera	0.0661176389	1603.0	unclear	intensional	6	0.11290322580645161	0.18938605619146726
planera	0.0661176389	1603.0	unclear	intensional	7	0.10961199294532628	0.18025083284342533
planera	0.0661176389	1603.0	unclear	intensional	8	0.01884469696969697	0.03533380681818183
planera	0.0661176389	1603.0	unclear	intensional	9	0.1226027397260274	0.2048977294051414
planera	0.0661176389	1603.0	unclear	intensional	10	0.06676499508357915	0.11934981422020342
planera	0.0661176389	1603.0	unclear	intensional	11	0.06652046783625731	0.12253770390889512
planera	0.0661176389	1603.0	unclear	intensional	12	0.0632183908045977	0.11553705905667887
planera	0.0661176389	1603.0	unclear	intensional	13	0.06269113149847094	0.1150295990797634
planera	0.0661176389	1603.0	unclear	intensional	14	0.08725182863113898	0.15444576562293566
planera	0.0661176389	1603.0	unclear	intensional	15	0.043209876543209874	0.08161865569272982
planera	0.0661176389	1603.0	unclear	intensional	16	0.0	0.0
riskera	0.10120799803333334	1023.0	up	intensional	1	0.16666666666666666	0.27777777777777785
riskera	0.10120799803333334	1023.0	up	intensional	2	0.0	0.0
riskera	0.10120799803333334	1023.0	up	intensional	3	0.12976190476190474	0.14829931972789115
riskera	0.10120799803333334	1023.0	up	intensional	4	0.0	0.0
riskera	0.10120799803333334	1023.0	up	intensional	5	0.4166666666666667	0.4166666666666667
riskera	0.10120799803333334	1023.0	up	intensional	6	0.1282051282051282	0.21696252465483212
riskera	0.10120799803333334	1023.0	up	intensional	7	0.21551148504273504	0.30238590077457256
riskera	0.10120799803333334	1023.0	up	intensional	8	0.04425837320574163	0.08152858222110296
riskera	0.10120799803333334	1023.0	up	intensional	9	0.1362126245847176	0.2280769527930155
riskera	0.10120799803333334	1023.0	up	intensional	10	0.10945273631840798	0.18950025989455718
riskera	0.10120799803333334	1023.0	up	intensional	11	0.06382978723404255	0.11407876867360796
riskera	0.10120799803333334	1023.0	up	intensional	12	0.05128205128205129	0.09467455621301762
riskera	0.10120799803333334	1023.0	up	intensional	13	0.06451612903225806	0.12070759625390215
riskera	0.10120799803333334	1023.0	up	intensional	14	0.044642857142857144	0.08370535714285716
riskera	0.10120799803333334	1023.0	up	intensional	15	0.06458333333333333	0.09687499999999999
riskera	0.10120799803333334	1023.0	up	intensional	16	0.0	0.0
slippa	0.9775664363000001	8760.0	unclear	other	1	0.9505494505494506	0.0836855452240067
slippa	0.9775664363000001	8760.0	unclear	other	2	0.9761904761904762	0.040816326530612256
slippa	0.9775664363000001	8760.0	unclear	other	3	0.9911437246963563	0.014987542821550938
slippa	0.9775664363000001	8760.0	unclear	other	4	0.9837773782281792	0.028213255255340554
slippa	0.9775664363000001	8760.0	unclear	other	5	1.0	0.0
slippa	0.9775664363000001	8760.0	unclear	other	6	0.9676339285714286	0.060686383928571314
slippa	0.9775664363000001	8760.0	unclear	other	7	0.9739281173949367	0.04820581384147191
slippa	0.9775664363000001	8760.0	unclear	other	8	0.965118215118215	0.064884998451432
slippa	0.9775664363000001	8760.0	unclear	other	9	0.965318130564032	0.06367818650538337
slippa	0.9775664363000001	8760.0	unclear	other	10	0.9735397452788757	0.04957375785696808
slippa	0.9775664363000001	8760.0	unclear	other	11	0.9785674470457079	0.04085804409346674
slippa	0.9775664363000001	8760.0	unclear	other	12	0.979956880867477	0.03787048465571347
slippa	0.9775664363000001	8760.0	unclear	other	13	0.9692574566276987	0.05659180994485926
slippa	0.9775664363000001	8760.0	unclear	other	14	0.9622711298043157	0.06944783186462224
slippa	0.9775664363000001	8760.0	unclear	other	15	0.9704766835404203	0.05537945991516974
slippa	0.9775664363000001	8760.0	unclear	other	16	0.9130434782608695	0.15879017013232513
sluta	0.9347825901999999	6460.0	up	aspectual	1	0.9224537037037036	0.11368312757201651
sluta	0.9347825901999999	6460.0	up	aspectual	2	0.9025974025974024	0.10966810966810975
sluta	0.9347825901999999	6460.0	up	aspectual	3	0.9444444444444443	0.09259259259259271
sluta	0.9347825901999999	6460.0	up	aspectual	4	0.9290319609468547	0.11612951845060154
sluta	0.9347825901999999	6460.0	up	aspectual	5	0.8782051282051282	0.1967455621301775
sluta	0.9347825901999999	6460.0	up	aspectual	6	0.923469387755102	0.13939504373177855
sluta	0.9347825901999999	6460.0	up	aspectual	7	0.9294984962584067	0.11530400518745622
sluta	0.9347825901999999	6460.0	up	aspectual	8	0.9244119303669784	0.13010010841149236
sluta	0.9347825901999999	6460.0	up	aspectual	9	0.9341404693445888	0.10979875912679431
sluta	0.9347825901999999	6460.0	up	aspectual	10	0.95223956541681	0.08295233374975075
sluta	0.9347825901999999	6460.0	up	aspectual	11	0.9269812198383626	0.12575652345406368
sluta	0.9347825901999999	6460.0	up	aspectual	12	0.92813434552565	0.1246073420616584
sluta	0.9347825901999999	6460.0	up	aspectual	13	0.9415941373329213	0.1021804682160665
sluta	0.9347825901999999	6460.0	up	aspectual	14	0.9259110216856695	0.1259414599228125
sluta	0.9347825901999999	6460.0	up	aspectual	15	0.9503099173553718	0.08673178061607828
sluta	0.9347825901999999	6460.0	up	aspectual	16	0.9342105263157895	0.11772853185595568
vägra	0.8474735531333334	6864.0	up	intensional	1	0.6324121614819289	0.3098304091961597
vägra	0.8474735531333334	6864.0	up	intensional	2	0.5510204081632654	0.37706511175898927
vägra	0.8474735531333334	6864.0	up	intensional	3	0.7996503496503496	0.1905912269548633
vägra	0.8474735531333334	6864.0	up	intensional	4	0.7444444444444446	0.26604938271604944
vägra	0.8474735531333334	6864.0	up	intensional	5	0.850523088023088	0.17105142332415066
vägra	0.8474735531333334	6864.0	up	intensional	6	0.8361028315946348	0.22125691203895975
vägra	0.8474735531333334	6864.0	up	intensional	7	0.8522138647238888	0.19387245230851252
vägra	0.8474735531333334	6864.0	up	intensional	8	0.8120575646410584	0.25549532723557566
vägra	0.8474735531333334	6864.0	up	intensional	9	0.8260515285348783	0.24102793598741032
vägra	0.8474735531333334	6864.0	up	intensional	10	0.8167395240924652	0.2503961596522155
vägra	0.8474735531333334	6864.0	up	intensional	11	0.8269478033074613	0.24230579366306534
vägra	0.8474735531333334	6864.0	up	intensional	12	0.8787584754950359	0.17870551755813666
vägra	0.8474735531333334	6864.0	up	intensional	13	0.814363197748505	0.2599194801849542
vägra	0.8474735531333334	6864.0	up	intensional	14	0.8007034632034631	0.26690464553367804
vägra	0.8474735531333334	6864.0	up	intensional	15	0.8172179641994903	0.24366722363236934
vägra	0.8474735531333334	6864.0	up	intensional	16	0.8958333333333334	0.17361111111111105
