variable	community	freq	trend	sclass	cohort	value	value2
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.5048732943469785	0.4019926359107646
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.4107142857142857	0.3392857142857143
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5466540404040404	0.22279040404040407
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994
fortsätta	0.6094744785333334	4443.0	up	aspectual	5	0.4513888888888889	0.4161324786324787
fortsätta	0.6094744785333334	4443.0	up	aspectual	6	0.6061465362123256	0.3965450378081957
fortsätta	0.6094744785333334	4443.0	up	aspectual	7	0.5887558224907622	0.36377804466786895
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.5898723278799282	0.37873622323194317
fortsätta	0.6094744785333334	4443.0	up	aspectual	9	0.5903364632237872	0.3890982829685467
fortsätta	0.6094744785333334	4443.0	up	aspectual	10	0.6468974106666394	0.3458297062756181
fortsätta	0.6094744785333334	4443.0	up	aspectual	11	0.6469404738022531	0.3640597416615792
fortsätta	0.6094744785333334	4443.0	up	aspectual	12	0.593339864426062	0.4095577948980589
fortsätta	0.6094744785333334	4443.0	up	aspectual	13	0.5990828474246841	0.41125620570253046
fortsätta	0.6094744785333334	4443.0	up	aspectual	14	0.6062567302827043	0.40343074028349785
fortsätta	0.6094744785333334	4443.0	up	aspectual	15	0.6361464004839685	0.3792714048299503
fortsätta	0.6094744785333334	4443.0	up	aspectual	16	0.7941176470588235	0.31487889273356406
försöka	0.9511025877666667	30164.0	up	initiative	1	0.9075378787878787	0.14241003787878798
försöka	0.9511025877666667	30164.0	up	initiative	2	0.8333333333333334	0.24999999999999997
försöka	0.9511025877666667	30164.0	up	initiative	3	0.9766116295875954	0.028916920187061088
försöka	0.9511025877666667	30164.0	up	initiative	4	0.923799835386799	0.11688782242721471
försöka	0.9511025877666667	30164.0	up	initiative	5	0.9588167388167389	0.06918787878787866
försöka	0.9511025877666667	30164.0	up	initiative	6	0.9439839779301465	0.08819286630393912
försöka	0.9511025877666667	30164.0	up	initiative	7	0.9493589404770139	0.08243924188985541
