variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	mean
fortsätta	0.0041669444999373195	0.0884619697042206	0.03658540470266225	0.037019627030722035	0.043388908105122526	0.009189601853165308	0.05334774914558982	0.011879305059738221	0.03550493876264476
försöka	0.0641341286275734	0.030745453333389405	0.02713358573141411	0.013001295346967034	0.008281222019448142	0.004145189870665811	0.01919251966077895	0.0013256636883767214	0.020994882284826696
glömma	0.09208276579566632	0.03697423477128414	0.02099367565063237	0.014993382112663878	0.029204761281365177	0.009487835329629934	0.020889031653281265	0.03671082840025863	0.032667064374347715
komma	0.06115379927461306	0.025994975797782482	0.013382960940892252	0.03031564819309457	0.00016528438849006122	0.0005376554408299539	0.03110336157169946	0.004507042029072816	0.020895090954559332
planera	0.02213289474313404	0.010531992112161964	0.03264219575989101	0.019214608617910738	0.022367580746924368	0.0007446976463564708	0.016388004603848316	0.03477141336390048	0.01984917344926592
riskera	0.03291882474548988	0.07654416206046288	0.08725315905052003	0.025054146280585762	0.03335642421316759	0.029021241114653686	0.023146819891627035	0.011995952490044683	0.03991134123081895
slippa	0.025595009796356094	0.01781302845884969	0.005398846240545319	0.0029363352384446095	0.000639273399079543	0.011654791272799336	0.0035087285311300453	0.01089976272348847	0.009805721957586638
sluta	0.006414560082775855	0.019805363211618188	0.01800972709789217	0.001449148207645079	0.015088764376046115	0.009514547979542876	0.0066146471939664275	0.008431893204674079	0.010666081419270099
vägra	0.19911397582132984	0.03683996053075522	0.09686919763487811	0.053155671945536054	0.01963411392161929	0.03517297182898671	0.0538098737853171	0.0741390721946028	0.07109185470787814
mean	0.05641254482076398	0.038190126664502735	0.037585416978814186	0.02190442921928553	0.01912514805014031	0.012163170259625565	0.02533341511524871	0.0216289925726841	0.029042905460133144
