yob_start	yob_end	ntokens	nauthors
1954	1956	467002.0	13.0
1957	1959	158202.0	8.0
1960	1962	1669207.0	25.0
1963	1965	2083971.0	33.0
1966	1968	3200644.0	78.0
1969	1972	7619462.0	193.0
1973	1975	19815990.0	358.0
1976	1978	20670777.0	570.0
1979	1981	29096149.0	791.0
1982	1984	29087794.0	869.0
1985	1987	26999897.0	856.0
1988	1990	13670675.0	454.0
1991	1993	975915.0	74.0
